combo_id,family,H,windows,oos_bars,oos_sharpe,oos_pf,oos_total_bp,oos_mean_bp
3,lgbm,12,7,42000,1.2009132365648454,1.0800145866832256,64586.99235235994,1.5377855321990463
2,lgbm,8,7,42000,1.2321397673083394,1.0766010076169321,68679.32752924299,1.635222084029595
1,lgbm,6,7,42000,0.8064342696168656,1.056478961676107,54481.72114949775,1.2971838368928037
0,lgbm,4,7,42000,0.5570234257165586,1.0277188882197137,27186.968913813616,0.647308783662229
4,lgbm,24,7,42000,1.3179178423647546,1.0764758570122224,83660.16444213304,1.991908677193644
5,lgbm,48,7,42000,1.3777391337430405,1.0549735226262027,40135.859412286125,0.9556157002925267
6,lgbm,72,7,42000,1.95034537983531,1.079546649659672,56528.120543967794,1.3459076319992331
7,lgbm,120,7,42000,1.3796023645485762,1.0588862227558438,57265.162221846156,1.3634562433772897
8,lgbm,168,7,42000,1.364377266745318,1.0537602764666831,46914.441966628176,1.1170105230149565
9,lgbm,336,7,42000,0.9450312788318319,1.0391533447445358,36148.39790697643,0.8606761406422959
