pair,n,T,best_sr_ann,pbo,eff_n
AAVE,2500,1772,0.9641487220445063,0.24783549783549783,327
ALGO,2500,626,2.000925976264432,0.2683982683982684,211
APE,2500,1251,0.840714006648907,0.47294372294372294,274
ARB,2500,626,1.6014233721280697,0.5010822510822511,166
ATOM,2500,626,1.8836750595918332,0.3203463203463203,180
AVAX,2500,1772,1.1737948828016591,0.3463203463203463,332
BCH,2500,2085,0.843064802726803,0.14285714285714285,411
BNB,2500,1563,0.8080595000591472,0.1525974025974026,186
BTC,2500,2817,0.6241586284480817,0.18831168831168832,234
DOGE,2500,2189,0.8020561489355602,0.28679653679653677,357
DOT,2500,626,1.9238220571159397,0.4751082251082251,193
ETC,2500,626,1.2070370638696108,0.6233766233766234,173
ETH,2500,2921,0.9023830977058687,0.2196969696969697,339
LINK,2500,2398,0.9914660999716262,0.18722943722943722,510
LTC,2500,2816,0.6524588702604709,0.13203463203463203,445
NEAR,2500,1772,0.9019610618083437,0.3874458874458874,367
SOL,2500,1457,1.2539068423433237,0.24134199134199133,427
TRX,2500,2607,0.7735503132520349,0.26731601731601734,292
UNI,2500,1772,1.171025133159398,0.35714285714285715,444
XLM,2500,626,1.750315304696662,0.487012987012987,193
