etf,bar_type,exkurt_naive,exkurt_rth
IWM,time,6.895171217474003,4.772164001088305
IWM,tick,3.1495081398478906,3.9700958625267235
IWM,volume,2.8649823923200683,6.070680861372606
IWM,dollar,5.2439700149978385,6.410218309137104
QQQ,time,5.400629692805268,9.952862739008735
QQQ,tick,3.0161029703042512,4.6934049322581
QQQ,volume,2.2392983375400997,2.7094636996667845
QQQ,dollar,4.608790081945276,6.295082878564731
SPY,time,10.74844649067541,10.237875568358035
SPY,tick,7.347582650692123,3.7581957336621397
SPY,volume,3.991752753617286,2.086843423916749
SPY,dollar,5.9880270414543375,4.3089948576244845
UVXY,time,225.8913803609269,4.10015660349901
UVXY,tick,224.07963254106022,4.560367613299847
UVXY,volume,242.66808112799345,8.712175537232557
UVXY,dollar,223.54662142025106,8.019773423511186
VXX,time,358.54553566094614,8.102194185966711
VXX,tick,348.13820681590875,5.192740374915058
VXX,volume,359.50505021013436,3.352814859390425
VXX,dollar,349.9884630925367,5.301558095650229
XLE,time,333.3508380030141,10.233671242450361
XLE,tick,341.4061140715281,3.153814775388626
XLE,volume,342.59682201909186,3.323885786835299
XLE,dollar,339.27145733767435,5.621064120149359
XLF,time,18.312469875166265,10.713188552286235
XLF,tick,11.511182010228964,2.4838883688598976
XLF,volume,12.900366335869933,1.5133686518649805
XLF,dollar,13.945748635009092,4.797852306665235
XLK,time,855.4594224508139,10.532514337828808
XLK,tick,807.2697365428958,8.532033344594101
XLK,volume,789.3462430210737,6.13195445533098
XLK,dollar,828.4776681569305,2.5639530432561033
XLV,time,9.88023181054047,6.266993599929172
XLV,tick,19.46763456182514,2.5940266768414384
XLV,volume,9.992980537518589,4.011843009868856
XLV,dollar,34.42196914621161,5.580609057265322
