pair,bar_type,n_bars,n,skew,exkurt,jb,jb_p,ac1,lb_p
BTCUSDT,time,1096,1095,0.06666229611842443,3.5632559864012414,580.1021956380729,1.0774788329547994e-126,0.008210397669286709,0.23175111703922782
BTCUSDT,tick,1096,1095,-0.010602325990887118,0.6622114030743425,20.0281695704981,4.4764963678996594e-05,0.02849306858080111,0.7486738327918738
BTCUSDT,volume,1096,1095,-0.06119010365645126,0.4986858936843426,12.029694441390083,0.0024422214569467336,0.07124184685799077,0.03926082084398571
BTCUSDT,dollar,1095,1094,-0.14798036133121223,0.9337872539423726,43.73955063219197,3.177439277802139e-10,-0.022710499602104195,0.47387196393492004
BTCUSDT,tib,3313,3312,0.009378152835433322,7.881720821988184,8572.818738237502,0.0,0.02914647857388399,0.004569789681814701
BTCUSDT,vib,3034,3033,0.6320264662402696,6.457039489419154,5470.92398258192,0.0,0.015304811964671549,0.4114799792092293
BTCUSDT,trb,1240,1239,0.0473329806292425,3.8793321597977055,777.3785244447614,1.564581683873508e-169,0.01646367579195402,0.23279087546953783
BTCUSDT,vrb,1973,1972,-0.18032013464022115,1.32625425065262,155.21379806866676,1.9758409939995104e-34,-0.023731649791746585,0.23132759234710182
ETHUSDT,time,1096,1095,-0.057834206046524755,3.1931589715257642,465.81498007899194,7.07232617213152e-102,0.019858146457785292,0.07234336190886981
ETHUSDT,tick,1096,1095,-0.3162459460774208,1.0650343481857965,70.00445213835775,6.291096744609805e-16,0.02932012656444774,0.8949679875962723
ETHUSDT,volume,1095,1094,-0.26125275992169134,1.9395714571980998,183.92644602890556,1.1504816782214335e-40,0.013112534721784056,0.015678668131654094
ETHUSDT,dollar,1095,1094,-0.28259949813242136,1.0707030704199454,66.81855573340499,3.094104504886202e-15,0.029624805346588904,0.5549892774216163
ETHUSDT,tib,3063,3062,0.09157797274433725,11.317754793884204,16346.629851850472,0.0,0.008271031025726223,0.2187414384894711
ETHUSDT,vib,2482,2481,0.7370921401420988,10.007586688049855,10577.847971919331,0.0,0.016126955608228542,0.4873725032944808
ETHUSDT,trb,1235,1234,-0.011674457777001452,3.2613469449542807,546.9154362062369,1.733093502100021e-119,-0.028822292110635268,0.20833252809130953
ETHUSDT,vrb,1831,1830,-0.29598131037812847,2.9041376502162146,669.8131867279178,3.5638100565609934e-146,-0.014997701620680023,0.03165275063416027
SOLUSDT,time,1095,1094,-1.2508928950550924,30.52510102752011,42759.0230424424,0.0,-0.06714828966212837,0.3467553431434782
SOLUSDT,tick,1096,1095,-0.36682685920473845,4.067238402576377,779.3058425879693,5.968791720253283e-170,0.015541177785561158,0.017596008826100018
SOLUSDT,volume,1096,1095,-0.3021882475187786,2.73170972500397,357.1300967304786,2.81958268031813e-78,-0.007420141972888434,0.15335022169211465
SOLUSDT,dollar,1096,1095,-0.05592863266380441,5.8571531187166705,1565.7931833653918,0.0,0.02164811294959695,0.0010484330781653358
SOLUSDT,tib,3334,3333,-0.003915129073013513,14.80900572931597,30456.219629535484,0.0,-0.049552893489720445,2.6062490980900854e-09
SOLUSDT,vib,1250,1249,0.40320680467559683,5.041776602749131,1356.7165817707441,2.4702307019350254e-295,0.011496276665073014,0.3091696617562102
SOLUSDT,trb,1230,1229,-1.0475886910921492,27.42410909064131,38737.64614652177,0.0,-0.07264671030097107,0.09496580031350303
SOLUSDT,vrb,1563,1562,-0.2122366254877987,3.3046943322438738,722.5019395875039,1.2903194279837683e-157,-0.005020168454799934,0.8418697224797074
