d,window_len,n_obs,adf_stat,adf_p,adf_crit_5,corr_level,passed
0.0,1,58931,-1.390285303833412,0.5869245029495884,-2.8615890483778905,1.0,False
0.05,3237,55695,-2.036252450796816,0.2709072697212387,-2.8615918983720907,0.9991550601388058,False
0.1,4076,54856,-2.638116336493261,0.08537246666938675,-2.861592692186532,0.9947693471417687,False
0.15,3901,55031,-3.6644302847269072,0.004642221229414007,-2.8615925246134672,0.9870264645867275,True
0.2,3382,55550,-5.250715302485895,6.920951295699723e-06,-2.8615920338488396,0.9769160592753695,True
0.25,2804,56128,-7.530952797835023,3.5798461669750654e-11,-2.861591497976876,0.96531914606994,True
0.3,2275,56657,-10.579290601031671,6.972868381157766e-19,-2.8615910171166803,0.9520266058060535,True
0.35,1826,57106,-14.706393977613493,2.892882192631499e-27,-2.8615906159666173,0.9351462776015477,True
0.4,1458,57474,-20.157470557871154,0.0,-2.8615902918583447,0.9124161033974039,True
0.45,1163,57769,-27.394538583400447,0.0,-2.861590035025299,0.8800866020568027,True
0.5,927,58005,-36.64427590708504,0.0,-2.8615898314398933,0.835142593519859,True
0.55,740,58192,-47.81777070972975,0.0,-2.861589671297018,0.7758612149842025,True
0.6,590,58342,-60.93554127154569,0.0,-2.8615895435822134,0.7006649388523829,True
0.65,470,58462,-75.74486925050672,0.0,-2.8615894418822667,0.6111794008668879,True
0.7,372,58560,-91.47951259372013,0.0,-2.8615893591365156,0.5146899293913771,True
0.75,293,58639,-107.71843862627883,0.0,-2.8615892926346613,0.4167032040785446,True
0.8,228,58704,-123.59731926078112,0.0,-2.8615892380521726,0.3241860130295633,True
0.85,173,58759,-138.47126580234254,0.0,-2.861589191961317,0.24161050593277306,True
0.9,125,58807,-152.07272572293394,0.0,-2.8615891518070278,0.1688883378275847,True
0.95,79,58853,-164.2958207058816,0.0,-2.8615891133872995,0.10293804300009655,True
1.0,2,58930,-175.29645706532492,0.0,-2.8615890492102554,0.0023654193599842574,True
