pair,base,n,d_star,corr_level_at_dstar,window_len
BTCUSDT,1m,1578240,0.15,0.9996601687249261,3901
BTCUSDT,1h,58931,0.15,0.9870264645867275,3901
ETHUSDT,1m,1578240,0.1,0.9995903180355828,4076
ETHUSDT,1h,57021,0.05,0.9986104897484137,3237
SOLUSDT,1m,1571040,0.15,0.9996069582783764,3901
SOLUSDT,1h,50013,0.05,0.9975322192756781,3237
DOGEUSDT,1m,1578240,0.1,0.9995109417421059,4076
DOGEUSDT,1h,51595,0.05,0.995817592360141,3237
BNBUSDT,1m,1578240,0.1,0.9997022785946258,4076
BNBUSDT,1h,55220,0.05,0.9988882527092205,3237
