pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
0GUSDT,6108.0,0.05,-3.6685002698901465,0.004578686088054237,0.9680397333163843,0.01709964747318559,3237.0,,0.017684898801858508,0.9372966651496546
1000000BOBUSDT,8611.0,0.1,-3.354901592395344,0.01259577681870282,0.9312379959110446,0.002710327192770504,4076.0,,0.01549290462944227,1.406550485297828
1000000MOGUSDT,13647.0,0.2,-3.8937502168910356,0.002081326553692672,0.9557842954704602,0.00995191333589234,3382.0,,0.01651076910895856,1.4042719110853101
1000BONKUSDC,18188.0,0.15,-3.6663101896616705,0.004612775436388885,0.9710134590115785,0.015406571369158644,3901.0,,0.013488483619480353,0.7674553839708976
1000BONKUSDT,22069.0,0.1,-2.9780028127844185,0.03700035315554386,0.9880962331673857,0.01229731640162426,4076.0,,0.015600117775489345,0.1136311363675418
1000CATUSDT,14055.0,0.15,-2.922918787797131,0.04274703076121827,0.9725188435591815,0.005201284509410884,3901.0,,0.015126833195191106,1.6312745369414996
1000CHEEMSUSDT,13216.0,0.15,-3.3567287591287487,0.012525459178205389,0.9724362177144078,0.019014776237146622,3901.0,,0.01456539771109832,0.07155873099413326
1000FLOKIUSDT,26867.0,0.1,-2.8793189984213683,0.047806312995840206,0.9807097100908617,0.00921281048680814,4076.0,,0.01322124384265867,0.19908055390274887
1000LUNCUSDT,32606.0,0.0,-3.364045485699414,0.012247354623826137,0.9999999999999998,0.004823245875040431,1.0,,0.012033510234654037,0.7949464140092513
1000PEPEUSDC,19531.0,0.15,-3.920498665863545,0.001889061815718339,0.9699024423983894,0.016257549228890226,3901.0,,0.013221628664489251,0.37153140773601456
1000PEPEUSDT,26891.0,0.1,-3.3906070776602113,0.01128327381807716,0.9799783251910079,0.007518051729096271,4076.0,,0.01447161060557841,0.08526572748609194
1000RATSUSDT,21517.0,0.1,-4.075073085643132,0.0010646031447499038,0.9792775685327395,0.005328644074198614,4076.0,,0.018505799550302,0.9807092122517127
