d,corr,passed
0.0,0.9999999999999998,0
0.05,0.9680397333163843,1
0.1,0.9334361842268479,0
0.15,0.8586205704185891,1
0.2,0.733883613417798,1
0.25,0.681518230006042,1
0.3,0.6998724352791037,1
0.35,0.5533497898345934,1
0.4,0.5117747949538347,1
0.45,0.4599790001041486,1
0.5,0.3233201638252265,1
0.55,0.27326961004295536,1
0.6,0.21624191487902455,1
0.65,0.16199340716377617,1
0.7,0.15209816344279653,1
0.75,0.1116952993490048,1
0.8,0.07860086764193742,1
0.85,0.042121407790670314,1
0.9,0.04026563045659926,1
0.95,0.037140044549373516,1
1.0,0.01709964747318559,1
0.0,0.9999999999999998,0
0.05,0.9931387921473964,0
0.1,0.9312379959110446,1
0.15,0.860052764867656,1
0.2,0.8297480706185274,1
0.25,0.7693920722428866,1
0.3,0.7423940854171867,1
0.35,0.7169781432201473,1
0.4,0.701326446161234,1
0.45,0.64272659956414,1
0.5,0.55245946490021,1
0.55,0.489555502981422,1
0.6,0.41094588687122424,1
0.65,0.32888322754893873,1
0.7,0.25555196868575486,1
0.75,0.190961077105107,1
0.8,0.1416537835232122,1
0.85,0.10121106365352399,1
0.9,0.06840057183858678,1
0.95,0.03800874317189321,1
1.0,0.002710327192770504,1
0.0,0.9999999999999999,0
0.05,0.9979373626599037,0
0.1,0.9918320399338374,0
0.15,0.9794962598450335,0
0.2,0.9557842954704602,1
0.25,0.9170475683773098,1
0.3,0.8654427643853585,1
0.35,0.7934009278386612,1
0.4,0.7293217576774427,1
0.45,0.668901060905255,1
0.5,0.5889953753583081,1
0.55,0.5144872436805642,1
0.6,0.44013707502115773,1
0.65,0.36188019894653256,1
0.7,0.28856713405275214,1
0.75,0.22550224326116614,1
0.8,0.17063826154210204,1
0.85,0.12803110595957906,1
0.9,0.09155343035488772,1
0.95,0.05700023033855962,1
1.0,0.00995191333589234,1
0.0,0.9999999999999998,0
0.05,0.9973402639192173,0
0.1,0.9880520114520526,0
0.15,0.9710134590115785,1
0.2,0.9450240066337928,1
0.25,0.9076211094632808,1
0.3,0.8583104044300769,1
0.35,0.8031606994799125,1
0.4,0.736562153360505,1
0.45,0.6582536811742238,1
0.5,0.568377565321478,1
0.55,0.47985861000043156,1
0.6,0.39799675367236914,1
0.65,0.3239603690255943,1
0.7,0.25726459662789297,1
0.75,0.1994711233403203,1
0.8,0.1514863315414805,1
0.85,0.11248429503522175,1
0.9,0.08015410930727723,1
0.95,0.052505045300012265,1
1.0,0.015406571369158644,1
0.0,1.0,0
0.05,0.997268837360865,0
0.1,0.9880962331673857,1
0.15,0.9709269728970743,1
0.2,0.9427690943981529,1
0.25,0.9052932621027977,1
0.3,0.8473489715768865,1
0.35,0.7863815401828024,1
0.4,0.7182371448999886,1
0.45,0.6372654878150319,1
0.5,0.551288564185286,1
0.55,0.4639294835891148,1
0.6,0.3798887668881705,1
0.65,0.2979171896486081,1
0.7,0.2305060950556879,1
0.75,0.17161340903512842,1
0.8,0.1255000863317112,1
0.85,0.09365335355345952,1
0.9,0.06573609565446176,1
0.95,0.04422103876299296,1
1.0,0.01229731640162426,1
0.0,1.0,0
0.05,0.997270135906337,0
0.1,0.9906737678003866,0
0.15,0.9725188435591815,1
0.2,0.9412534331529017,1
0.25,0.8892040643098948,1
0.3,0.8107382915097031,1
0.35,0.7607655023870438,1
0.4,0.7259475989169005,1
0.45,0.6638211568948863,1
0.5,0.6113665668090166,1
0.55,0.5364918289737871,1
0.6,0.4626855505066783,1
0.65,0.38336239402837874,1
0.7,0.3140894750150312,1
0.75,0.24400833937414712,1
0.8,0.1838914828414047,1
0.85,0.13552379775283932,1
0.9,0.09401293658941239,1
0.95,0.05731188530367706,1
1.0,0.005201284509410884,1
0.0,0.9999999999999999,0
0.05,0.9975960612916365,0
0.1,0.9889650849420837,0
0.15,0.9724362177144078,1
0.2,0.9466452969894686,1
0.25,0.9058641547620226,1
0.3,0.8465462826846876,1
0.35,0.7696735088550685,1
0.4,0.6784139633847331,1
0.45,0.5851993050837946,1
0.5,0.4935857819944908,1
0.55,0.40453701574946016,1
0.6,0.3240826004581509,1
0.65,0.25388532736187286,1
0.7,0.1994917763593199,1
0.75,0.1542674193375452,1
0.8,0.11846118998881305,1
0.85,0.08780330173726551,1
0.9,0.0645939723842286,1
0.95,0.04457033411353791,1
1.0,0.019014776237146622,1
0.0,1.0,0
0.05,0.9965968697354786,0
0.1,0.9807097100908617,1
0.15,0.9555062784974188,1
0.2,0.9266764654794637,1
0.25,0.8969436079951084,1
0.3,0.8620886932149636,1
0.35,0.8201052721757367,1
0.4,0.7691384155974442,1
0.45,0.70695566064456,1
0.5,0.6353607818647843,1
0.55,0.5577452220194741,1
0.6,0.4738352680434916,1
0.65,0.38933417928214165,1
0.7,0.31197041486912525,1
0.75,0.24368098257743975,1
0.8,0.18546823157311237,1
0.85,0.1367773010271904,1
0.9,0.09575546255105287,1
0.95,0.06028331461329019,1
1.0,0.00921281048680814,1
0.0,0.9999999999999998,1
0.05,0.9961346308356065,1
0.1,0.9789724391668583,1
0.15,0.9505535980939158,1
0.2,0.9148508821104833,1
0.25,0.8730998301150323,1
0.3,0.8174061764794537,1
0.35,0.7560139579984447,1
0.4,0.6775822850548473,1
0.45,0.6001544340507058,1
0.5,0.518297960816712,1
0.55,0.43682867405809095,1
0.6,0.361272521866224,1
0.65,0.2949239553024012,1
0.7,0.23214199573365205,1
0.75,0.17711831687319995,1
0.8,0.13444679602740214,1
0.85,0.09887386882967666,1
0.9,0.06928147411333276,1
0.95,0.04329695686464472,1
1.0,0.004823245875040431,1
0.0,1.0,0
0.05,0.9971530253373717,0
0.1,0.9877069419461275,0
0.15,0.9699024423983894,1
0.2,0.9410566124418941,1
0.25,0.9008999723215703,1
0.3,0.8510776577937927,1
0.35,0.794641317027605,1
0.4,0.7224639207118267,1
0.45,0.6411278644881884,1
0.5,0.5545216370300664,1
0.55,0.46691771880208494,1
0.6,0.38433427585800506,1
0.65,0.3087710330805934,1
0.7,0.2433910149446634,1
0.75,0.18748873773725488,1
0.8,0.1424063017528155,1
0.85,0.1055157287274559,1
0.9,0.07580199370597235,1
0.95,0.05038412773761385,1
1.0,0.016257549228890226,1
0.0,1.0,0
0.05,0.9970915083232768,0
0.1,0.9799783251910079,1
0.15,0.9544715838523499,1
0.2,0.9296579253162518,1
0.25,0.9057027798880446,1
0.3,0.8748790887816779,1
0.35,0.8385096782441919,1
0.4,0.7916385318777405,1
0.45,0.7305356553390292,1
0.5,0.6609018157566686,1
0.55,0.586674764941852,1
0.6,0.5051783930251453,1
0.65,0.42006262921452336,1
0.7,0.33986844153812024,1
0.75,0.2657527913681591,1
0.8,0.20268172271088677,1
0.85,0.14746640194475208,1
0.9,0.1032268782785937,1
0.95,0.06405030176653626,1
1.0,0.007518051729096271,1
0.0,1.0,0
0.05,0.9964302143625955,0
0.1,0.9792775685327395,1
0.15,0.9506520229463006,1
0.2,0.9116666896146239,1
0.25,0.8525498143629442,1
0.3,0.8072873439600351,1
0.35,0.7647579310567525,1
0.4,0.7048126767378511,1
0.45,0.6301778309725489,1
0.5,0.5487778936405006,1
0.55,0.4644555049975397,1
0.6,0.38736098886431414,1
0.65,0.30969854559465837,1
0.7,0.2433288642716824,1
0.75,0.18884682198565247,1
0.8,0.14507001787888182,1
0.85,0.10763839382824318,1
0.9,0.07577155299978089,1
0.95,0.048408715286065,1
1.0,0.005328644074198614,1
0.0,1.0,0
0.05,0.9992394784910105,0
0.1,0.9955965365535437,0
0.15,0.9884760707708409,0
0.2,0.9774678966040488,1
0.25,0.9597102877965327,1
0.3,0.9394633821510587,1
0.35,0.9135941713644098,1
0.4,0.8775817619864988,1
0.45,0.8278645587566116,1
0.5,0.761627197575874,1
0.55,0.6839694166778401,1
0.6,0.5940192296766768,1
0.65,0.4984152423951259,1
0.7,0.40718090295119025,1
0.75,0.32283681024971933,1
0.8,0.24629446645418798,1
0.85,0.18187398901434731,1
0.9,0.1261644918761422,1
0.95,0.07697138014302835,1
1.0,0.0069860443017389934,1
0.0,1.0,0
0.05,0.9982319435182266,0
0.1,0.9920526245597514,0
0.15,0.9794880692451814,1
0.2,0.9583745966839338,1
0.25,0.9242380802176533,1
0.3,0.8803117254318471,1
0.35,0.8195296470818408,1
0.4,0.7590718959113757,1
0.45,0.6903308032359691,1
0.5,0.6063824531023375,1
0.55,0.5162426937591091,1
0.6,0.4305120332837971,1
0.65,0.35023432903514207,1
0.7,0.2700140216736186,1
0.75,0.20880577031933997,1
0.8,0.15986515284071545,1
0.85,0.11875499027542367,1
0.9,0.08418326606184474,1
0.95,0.052624299551161643,1
1.0,0.009813802701349275,1
0.0,1.0,0
0.05,0.9963234878590103,1
0.1,0.9856744681720307,1
0.15,0.9654156485616779,1
0.2,0.9296082680536398,1
0.25,0.8904760144418306,1
0.3,0.8430273432625615,1
0.35,0.7878519661618859,1
0.4,0.7259708411495948,1
0.45,0.6516154471424086,1
0.5,0.571009867226803,1
0.55,0.4854348741106521,1
0.6,0.4029012352485513,1
0.65,0.3241119617815242,1
0.7,0.25636295710781465,1
0.75,0.1966270490203584,1
0.8,0.14876676229024735,1
0.85,0.10798093454080324,1
0.9,0.0763174202182797,1
0.95,0.04946934105896553,1
1.0,0.012462901994523233,1
0.0,1.0,0
0.05,0.9984636792354562,0
0.1,0.9916291808873721,1
0.15,0.9788176582120892,1
0.2,0.9599066988505948,1
0.25,0.9314917904828123,1
0.3,0.8982381159111198,1
0.35,0.8523204509851935,1
0.4,0.8007560713600032,1
0.45,0.7437165126349359,1
0.5,0.6714060729392105,1
0.55,0.5882766281956417,1
0.6,0.5009609498958891,1
0.65,0.41406174374607074,1
0.7,0.33281597508745175,1
0.75,0.26088494134760615,1
0.8,0.2008987273446975,1
0.85,0.14734663139651935,1
0.9,0.10336026976867956,1
0.95,0.06340221803502032,1
1.0,0.004036819445771078,1
0.0,1.0,0
0.05,0.9992095965422803,0
0.1,0.9954223262629042,0
0.15,0.9880607239885983,1
0.2,0.9761428584454838,1
0.25,0.961876851078805,1
0.3,0.9438452311255263,1
0.35,0.9195279456365342,1
0.4,0.8854662146948359,1
0.45,0.8381775045572346,1
0.5,0.7779853422254914,1
0.55,0.6996909279486022,1
0.6,0.6097351117558933,1
0.65,0.5123672684463515,1
0.7,0.41649584951164254,1
0.75,0.3272320166029613,1
0.8,0.24991842635460884,1
0.85,0.18422948840503736,1
0.9,0.12861177459497128,1
0.95,0.07941867526213785,1
1.0,0.006425239204672902,1
0.0,0.9999999999999998,0
0.05,0.9980102317856386,0
0.1,0.9913384229013731,0
0.15,0.97658368556485,1
0.2,0.9495066717005863,1
0.25,0.9118005520382847,1
0.3,0.8829752702802346,1
0.35,0.8355236352821448,1
0.4,0.7774460926586462,1
0.45,0.707257069472573,1
0.5,0.6183577838423203,1
0.55,0.534933907414897,1
0.6,0.4520129105332618,1
0.65,0.3708042749967926,1
0.7,0.2929648611899517,1
0.75,0.22671573737549053,1
0.8,0.17260885238195534,1
0.85,0.12796684211796086,1
0.9,0.09065649207977583,1
0.95,0.05723508875204602,1
1.0,0.013561772207718693,1
0.0,1.0,1
0.05,0.9937625286436852,0
0.1,0.9879837555790825,0
0.15,0.9693683986944422,1
0.2,0.9470490620059968,1
0.25,0.7382526116405327,1
0.3,0.7058053738661045,1
0.35,0.6398116429638641,1
0.4,0.549534659801381,1
0.45,0.40211059089912454,1
0.5,0.27930477673379556,1
0.55,0.23096459231520935,1
0.6,0.15589652382071126,1
0.65,0.13967749995850498,1
0.7,0.12357824280466005,1
0.75,0.08722676406476916,1
0.8,0.07003806208552796,1
0.85,0.025274657561759707,1
0.9,0.008384563905341655,1
0.95,-0.0026893171768902348,1
1.0,-0.038733352906537205,1
0.0,1.0,1
0.05,0.9960053809353668,0
0.1,0.9812768827265571,1
0.15,0.9553597688093756,1
0.2,0.9457108943326543,1
0.25,0.8384326413286056,1
0.3,0.6560269714854875,1
0.35,0.6180109834124177,1
0.4,0.49691725420087,1
0.45,0.39722763235282216,1
0.5,0.2975865889679913,1
0.55,0.23065054942457652,1
0.6,0.17803770680499445,1
0.65,0.1364429778394006,1
0.7,0.1288016855620438,1
0.75,0.09188565998093019,1
0.8,0.07193003085777042,1
0.85,0.04286718654622676,1
0.9,0.03712916239072151,1
0.95,0.03527552939041775,1
1.0,-0.00835058928063114,1
0.0,1.0,0
0.05,0.9974832066689949,0
0.1,0.984317118467016,0
0.15,0.960130405845389,1
0.2,0.9126417324116073,1
0.25,0.8693108936681884,1
0.3,0.8403869201190058,1
0.35,0.8086035515861077,1
0.4,0.7597236869463379,1
0.45,0.6957816205716403,1
0.5,0.6065361325925271,1
0.55,0.5210806450576282,1
0.6,0.44299291845888433,1
0.65,0.36643655492647637,1
0.7,0.2932899886986188,1
0.75,0.23037417198083254,1
0.8,0.17584399939774373,1
0.85,0.13260377129502393,1
0.9,0.09340440479872823,1
0.95,0.06074826306198424,1
1.0,0.014786435436753535,1
0.0,1.0,0
0.05,0.9978118602423811,1
0.1,0.9879418756401744,1
0.15,0.9702172057099366,1
0.2,0.9458701881882442,1
0.25,0.9144785684700714,1
0.3,0.867425074631439,1
0.35,0.8105474709261796,1
0.4,0.7488728384979713,1
0.45,0.6747714875596751,1
0.5,0.591017853126102,1
0.55,0.5016445439342722,1
0.6,0.4120567727393464,1
0.65,0.3257868491902342,1
0.7,0.25982707069357236,1
0.75,0.20286525882397,1
0.8,0.15462685859155068,1
0.85,0.11405537367684437,1
0.9,0.0795918665363266,1
0.95,0.05070396499003382,1
1.0,0.00839132435751746,1
0.0,1.0,0
0.05,0.9993691975011292,0
0.1,0.99598352937147,0
0.15,0.9895358250532689,1
0.2,0.9803655842610098,1
0.25,0.9656620361237231,1
0.3,0.9496280391837202,1
0.35,0.9292826346282289,1
0.4,0.9016907699248013,1
0.45,0.8625319764135113,1
0.5,0.8098043491804849,1
0.55,0.7384963994849494,1
0.6,0.6539892996263935,1
0.65,0.5564789074313827,1
0.7,0.4559735502501468,1
0.75,0.36174767218518133,1
0.8,0.277340837212514,1
0.85,0.2036561650604629,1
0.9,0.1421588744952261,1
0.95,0.08563771605454791,1
1.0,0.0030517870874710493,1
0.0,0.9999999999999999,0
0.05,0.9977435606403813,0
0.1,0.9892742229580967,1
0.15,0.9732057243396008,1
0.2,0.9479476881245953,1
0.25,0.912047435825081,1
0.3,0.8615554817281176,1
0.35,0.8006281880751304,1
0.4,0.7255680198747307,1
0.45,0.6453044941386347,1
0.5,0.5633840349026797,1
0.55,0.4761246319566091,1
0.6,0.39059393538074855,1
0.65,0.3160984794839945,1
0.7,0.24917885696472575,1
0.75,0.19136858690179787,1
0.8,0.145216593517613,1
0.85,0.107024700399542,1
0.9,0.0760119072447523,1
0.95,0.05032930818694612,1
1.0,0.014067470077143804,1
0.0,1.0,0
0.05,0.9953766277315669,1
0.1,0.9816158801008572,0
0.15,0.9502760774513783,1
0.2,0.8335688964605047,1
0.25,0.8442923359349476,1
0.3,0.8257723058183739,1
0.35,0.7844772328530898,1
0.4,0.714591146826901,1
0.45,0.6614926482159869,1
0.5,0.5802085813243734,1
0.55,0.5046404293787234,1
0.6,0.43261827284866233,1
0.65,0.36165122018953855,1
0.7,0.29907338572248604,1
0.75,0.23239392629668829,1
0.8,0.17497256655368534,1
0.85,0.12580546894098146,1
0.9,0.08602825169923885,1
0.95,0.05033163434386036,1
1.0,0.002794927442357754,1
0.0,1.0,0
0.05,0.9986550757366941,0
0.1,0.990495846074372,0
0.15,0.9764065779446789,1
0.2,0.9592857395420267,1
0.25,0.930561413867258,1
0.3,0.8996485716983085,1
0.35,0.8484875356536807,1
0.4,0.7969994087165402,1
0.45,0.7298507659920482,1
0.5,0.6527527175067239,1
0.55,0.5538520731001436,1
0.6,0.47572378620019934,1
0.65,0.3938308786290515,1
0.7,0.31864380569523076,1
0.75,0.24090587029564287,1
0.8,0.18075303578053387,1
0.85,0.13284902074943875,1
0.9,0.09065903608689652,1
0.95,0.053300967141485404,1
1.0,-0.008965175041744348,1
0.0,0.9999999999999999,0
0.05,0.9984466536090492,0
0.1,0.9918421858560612,0
0.15,0.9799664840393131,0
0.2,0.9636069246413096,1
0.25,0.9382469487052914,1
0.3,0.9019404476219588,1
0.35,0.8595555195335545,1
0.4,0.8073413894494154,1
0.45,0.7417000767976563,1
0.5,0.6617588986995764,1
