market,instrument,d_star,adf_stat,adf_p,corr_level_dstar,corr_level_d1
crypto,ZKCUSDT,0.0,-3.7398353446977626,0.0035864741952728,1.0,-0.0298277223409696
crypto,1000LUNCUSDT,0.0,-3.364045485699414,0.0122473546238261,0.9999999999999998,0.0048232458750404
crypto,ZEREBROUSDT,0.0,-4.193458578623219,0.0006759026940207,1.0,-0.0090361468495508
crypto,AVAUSDT,0.0,-3.622746244308087,0.0053407656668515,1.0,-0.0091907803818084
crypto,TAUSDT,0.0,-3.290787443483331,0.0152953319262422,1.0,0.0209969054593967
crypto,USDCUSDT,0.0,-64.94337505418946,0.0,1.0,-0.1323519057478156
crypto,TSTUSDT,0.0,-3.2066584441537764,0.0196024829605946,1.0,-0.0060744244366181
crypto,TURTLEUSDT,0.0,-3.614628305193957,0.005487446075727,1.0,-0.0148215463956486
crypto,SWARMSUSDT,0.0,-4.194138595679031,0.000674116167875,1.0,-0.0063320636409672
crypto,SUNUSDT,0.0,-3.321174928433419,0.0139580830280522,1.0,0.0271074240204967
crypto,TAOUSDT,0.0,-3.078963106499169,0.0281496929368395,1.0,0.017241538278349
crypto,SXTUSDT,0.0,-3.675821489207305,0.0044663901036436,1.0,-0.0217626435828959
crypto,CHILLGUYUSDT,0.0,-2.9556255676078527,0.0392513841526546,1.0,-0.004923847490278
crypto,BRUSDT,0.0,-3.2802395665819883,0.0157852061411779,1.0,0.028279177218753
crypto,BIOUSDT,0.0,-3.408430372666703,0.0106748161179595,1.0,-0.0090204242971417
crypto,BANUSDT,0.0,-5.558563807487174,1.5605841391622448e-06,1.0,0.017203190349784
crypto,DUSKUSDT,0.0,-2.9150747678722246,0.0436228806434605,0.9999999999999998,0.0070510307299913
crypto,ENSUSDT,0.0,-3.1635811359594657,0.0221919193805104,1.0,0.0095938103609696
crypto,EDENUSDT,0.0,-3.7608382618593614,0.0033343883372425,0.9999999999999998,-0.0233005373103401
crypto,HOLOUSDT,0.0,-4.023563756690787,0.0012920282374312,1.0,-0.0231270009985614
crypto,ICNTUSDT,0.0,-3.215772081658992,0.0190896895265076,1.0,0.0379885357139637
crypto,INUSDT,0.0,-2.9558101124645724,0.0392323608329084,1.0,0.0390886950738893
crypto,ETHBTC,0.0,-17.703328794624657,3.5288451116299874e-30,1.0,0.1817631507670034
crypto,ORCAUSDT,0.0,-3.110241565320001,0.0258044923159224,1.0,0.0050112055871498
crypto,NXPCUSDT,0.0,-3.631432309476503,0.0051877740144279,1.0,-0.0157783099194724
crypto,OPENUSDT,0.0,-4.163354677062316,0.0007596013393825,1.0,-0.0212334474472742
