pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len
ZKCUSDT,6158.0,0.0,-3.7398353446977626,0.0035864741952728583,1.0,-0.029827722340969698,1.0
1000LUNCUSDT,32606.0,0.0,-3.364045485699414,0.012247354623826137,0.9999999999999998,0.004823245875040431,1.0
ZEREBROUSDT,12302.0,0.0,-4.193458578623219,0.0006759026940207555,1.0,-0.009036146849550848,1.0
AVAUSDT,12782.0,0.0,-3.622746244308087,0.005340765666851578,1.0,-0.009190780381808471,1.0
TAUSDT,7509.0,0.0,-3.290787443483331,0.015295331926242214,1.0,0.02099690545939672,1.0
USDCUSDT,28187.0,0.0,-64.94337505418946,0.0,1.0,-0.13235190574781563,1.0
TSTUSDT,11391.0,0.0,-3.2066584441537764,0.019602482960594605,1.0,-0.006074424436618107,1.0
TURTLEUSDT,5269.0,0.0,-3.6146283051939565,0.005487446075727021,1.0,-0.014821546395648639,1.0
SWARMSUSDT,12184.0,0.0,-4.194138595679031,0.0006741161678750602,0.9999999999999999,-0.006332063640967234,1.0
SUNUSDT,15490.0,0.0,-3.321174928433419,0.013958083028052223,1.0,0.027107424020496717,1.0
TAOUSDT,18686.0,0.0,-3.078963106499169,0.028149692936839565,1.0,0.017241538278349094,1.0
SXTUSDT,9428.0,0.0,-3.6758214892073053,0.00446639010364366,1.0,-0.021762643582895955,1.0
CHILLGUYUSDT,13166.0,0.0,-2.9556255676078527,0.03925138415265466,0.9999999999999999,-0.004923847490278086,1.0
BRUSDT,10432.0,0.0,-3.2802395665819883,0.01578520614117797,1.0,0.02827917721875302,1.0
BIOUSDT,12274.0,0.0,-3.408430372666703,0.01067481611795954,1.0,-0.009020424297141786,1.0
BANUSDT,13384.0,0.0,-5.558563807487174,1.5605841391622448e-06,1.0,0.017203190349784073,1.0
DUSKUSDT,38492.0,0.0,-2.9150747678722246,0.04362288064346051,0.9999999999999998,0.0070510307299913675,1.0
ENSUSDT,39409.0,0.0,-3.1635811359594657,0.022191919380510437,1.0,0.009593810360969662,1.0
EDENUSDT,5801.0,0.0,-3.7608382618593614,0.003334388337242504,0.9999999999999998,-0.023300537310340184,1.0
HOLOUSDT,6256.0,0.0,-4.023563756690787,0.0012920282374312077,1.0,-0.02312700099856146,1.0
ICNTUSDT,7930.0,0.0,-3.215772081658992,0.01908968952650766,1.0,0.0379885357139637,1.0
INUSDT,7098.0,0.0,-2.9558101124645724,0.039232360832908424,1.0,0.039088695073889373,1.0
ETHBTC,27112.0,0.0,-17.703328794624657,3.528845111629987e-30,0.9999999999999999,0.18176315076700347,1.0
ORCAUSDT,12944.0,0.0,-3.110241565320001,0.025804492315922464,0.9999999999999999,0.005011205587149885,1.0
NXPCUSDT,9118.0,0.0,-3.631432309476503,0.005187774014427943,1.0,-0.015778309919472457,1.0
OPENUSDT,6322.0,0.0,-4.163354677062316,0.0007596013393825613,1.0,-0.02123344744727428,1.0
