market,name,n_ev,n_act,frac_act,precision,base_rate,prim_pf,meta_pf,prim_sr_ann,meta_sr_ann,prim_dsr,meta_dsr,pbo_primary,pbo_meta,eff_n,best
crypto,1000SHIBUSDT,358,152,0.4246,0.5987,0.4637,0.6893,0.9229,-2.9505,-0.4217,0.0,0.0025,0.754,0.4325,6,f20/s60 pt2.0/sl1.5 h25
crypto,AAVEUSDT,267,104,0.3895,0.5481,0.4757,0.6927,0.9913,-1.7965,-0.0274,0.0,0.0211,0.6548,0.6825,6,f30/s90 pt1.0/sl1.0 h25
crypto,ALGOUSDT,361,181,0.5014,0.5856,0.5152,0.9001,0.9053,-0.85,-0.5591,0.0027,0.0282,0.631,0.9881,6,f20/s60 pt2.0/sl1.5 h25
crypto,APEUSDT,315,148,0.4698,0.6014,0.4952,0.8022,0.9197,-1.5951,-0.4079,0.0,0.0052,0.3056,0.496,4,f20/s60 pt2.0/sl1.5 h25
crypto,APTUSDT,733,349,0.4761,0.6275,0.4993,0.8511,1.0609,-2.0359,0.5175,0.0,0.0047,0.6429,0.2738,6,f10/s30 pt2.0/sl1.5 h50
crypto,ARBUSDT,371,259,0.6981,0.6139,0.5687,1.0266,1.0283,0.2765,0.2353,0.021,0.0383,0.2897,0.4405,6,f20/s60 pt2.0/sl1.5 h25
crypto,ATOMUSDT,731,378,0.5171,0.6614,0.5144,0.8425,1.0834,-1.5221,0.4886,0.0,0.0313,0.4405,0.2579,6,f10/s30 pt1.5/sl1.0 h25
crypto,AVAXUSDT,645,371,0.5752,0.6092,0.5457,1.053,1.2143,0.5639,1.5794,0.0875,0.5947,0.4643,0.2817,5,f10/s30 pt2.0/sl1.5 h25
crypto,BCHUSDT,354,262,0.7401,0.5763,0.5678,0.9968,1.0104,-0.0241,0.0679,0.0005,0.0019,0.0873,0.4048,6,f20/s60 pt2.0/sl1.5 h25
crypto,BNBUSDT,217,139,0.6406,0.5827,0.553,0.8913,0.7613,-0.5699,-1.0041,0.0004,0.0,0.2103,0.5119,6,f30/s90 pt1.5/sl1.0 h25
crypto,BTCUSDT,715,486,0.6797,0.5905,0.5538,0.9459,1.0831,-0.6149,0.7125,0.0004,0.0266,0.1746,0.0278,6,f10/s30 pt2.0/sl1.5 h25
crypto,DOGEUSDT,748,428,0.5722,0.5537,0.5174,0.8528,0.9278,-1.7878,-0.6335,0.0,0.0089,0.9325,0.8492,7,f10/s30 pt2.0/sl1.5 h25
crypto,DOTUSDT,365,242,0.663,0.5992,0.5507,1.0644,1.1835,0.4947,1.0459,0.0743,0.1788,0.3611,0.4683,6,f20/s60 pt2.0/sl1.5 h25
crypto,ETCUSDT,714,378,0.5294,0.6164,0.5238,0.8932,1.0517,-1.2177,0.3806,0.0,0.0024,0.123,0.373,6,f10/s30 pt2.0/sl1.5 h25
crypto,ETHUSDT,379,264,0.6966,0.5417,0.5277,0.9861,1.0148,-0.112,0.0951,0.0,0.0024,0.246,0.4325,6,f20/s60 pt2.0/sl1.5 h25
crypto,HBARUSDT,372,198,0.5323,0.5707,0.5188,0.8891,1.0063,-0.9148,0.0343,0.0024,0.0142,0.7183,0.5556,6,f20/s60 pt2.0/sl1.5 h25
crypto,ICPUSDT,703,397,0.5647,0.6474,0.5505,1.0281,1.1312,0.2478,0.8072,0.0493,0.1383,0.5714,0.369,6,f10/s30 pt1.5/sl1.0 h25
crypto,LINKUSDT,693,442,0.6378,0.5837,0.544,1.0052,1.0528,0.0568,0.4346,0.0059,0.0268,0.381,0.4087,6,f10/s30 pt2.0/sl1.5 h25
crypto,LTCUSDT,262,174,0.6641,0.5115,0.5267,0.8248,0.8074,-0.9736,-0.8698,0.0,0.0002,0.0675,0.3849,6,f30/s90 pt1.0/sl1.0 h25
crypto,NEARUSDT,716,433,0.6047,0.5751,0.5251,0.9237,0.9699,-0.8458,-0.2484,0.0005,0.01,0.8889,0.5952,6,f10/s30 pt2.0/sl1.5 h25
crypto,SOLUSDT,239,101,0.4226,0.5743,0.4561,0.6569,1.215,-1.8941,0.5465,0.0,0.2508,0.2024,0.7183,6,f30/s90 pt1.0/sl1.0 h25
crypto,SUIUSDT,257,150,0.5837,0.5667,0.5292,1.0214,1.0826,0.1786,0.4956,0.0029,0.0009,0.3135,0.2302,5,f30/s90 pt2.0/sl1.5 h25
crypto,TRXUSDT,639,515,0.8059,0.5612,0.5649,1.0553,1.0222,0.5687,0.2085,0.002,0.0009,0.0913,0.1786,6,f10/s30 pt2.0/sl1.5 h50
crypto,UNIUSDT,248,145,0.5847,0.6276,0.5484,1.0589,1.2939,0.3085,1.0408,0.0,0.0901,0.4484,0.377,6,f30/s90 pt1.5/sl1.0 h25
crypto,XLMUSDT,350,182,0.52,0.6319,0.5229,0.9326,1.1207,-0.5438,0.6296,0.0134,0.0291,0.8571,0.3492,6,f20/s60 pt2.0/sl1.5 h25
crypto,XRPUSDT,751,440,0.5859,0.6705,0.5606,1.0169,1.332,0.1984,2.5172,0.0029,0.293,0.1468,0.0,6,f10/s30 pt2.0/sl1.5 h25
