edge,pair_id,prim_trades,meta_trades,prim_pf,meta_pf,prim_bp,meta_bp,prim_dsr,meta_dsr,gate_kept
funding squeeze,P24,65,65,3.022,3.022,285.9,285.9,0.983,0.983,1.0
cross-venue funding divergence,P24,67,53,1.989,2.232,168.1,185.8,0.862,0.924,0.791
top-trader ratio,P06,114,114,1.598,1.598,59.2,59.2,0.875,0.875,1.0
cross-venue funding divergence,P13,57,33,1.19,1.768,26.6,79.4,0.123,0.858,0.579
cross-asset residual,P23,160,108,1.209,1.777,53.0,165.2,0.0,0.763,0.675
cross-asset residual,P24,183,121,2.132,2.112,161.4,161.9,0.802,0.742,0.661
top-trader ratio,P09,87,61,1.26,1.527,26.3,40.7,0.447,0.721,0.701
cross-venue funding divergence,P26,85,41,1.513,1.414,101.0,98.6,0.31,0.7,0.482
open-interest squeeze,P15,157,106,1.145,1.439,17.9,43.2,0.063,0.695,0.675
funding squeeze,P13,67,39,1.063,1.361,11.2,43.1,0.259,0.666,0.582
open-interest squeeze,P25,109,73,1.45,1.286,54.7,38.1,0.359,0.652,0.67
cross-asset residual,P16,116,84,1.663,1.669,128.3,146.6,0.336,0.651,0.724
cross-venue funding divergence,P17,55,42,1.878,2.472,114.3,160.8,0.159,0.624,0.764
top-trader ratio,P14,114,46,1.558,1.442,50.8,55.9,0.659,0.605,0.404
funding squeeze,P23,61,47,1.289,1.495,54.0,91.5,0.215,0.601,0.77
open-interest squeeze,P16,43,24,1.091,1.096,16.1,17.1,0.577,0.569,0.558
cross-asset residual,P11,205,158,0.611,1.275,-192.4,83.1,0.0,0.56,0.771
cross-venue funding divergence,P20,57,35,0.75,1.083,-81.9,20.0,0.01,0.535,0.614
top-trader ratio,P18,98,22,1.517,1.034,45.7,4.1,0.637,0.521,0.224
top-trader ratio,P07,133,133,1.098,1.098,14.0,14.0,0.52,0.52,1.0
open-interest squeeze,P10,75,54,1.929,1.586,89.0,54.7,0.552,0.491,0.72
cross-venue funding divergence,P18,70,57,0.886,1.605,-25.1,74.6,0.0,0.49,0.814
funding squeeze,P08,73,27,0.686,1.236,-46.3,19.3,0.003,0.476,0.37
funding squeeze,P09,58,32,1.591,1.687,112.6,80.7,0.266,0.473,0.552
cross-venue funding divergence,P15,59,45,2.334,2.279,202.2,192.8,0.416,0.466,0.763
open-interest squeeze,P11,81,57,1.186,1.286,19.8,30.0,0.539,0.464,0.704
open-interest squeeze,P04,83,41,1.572,1.251,41.6,28.1,0.228,0.462,0.494
open-interest squeeze,P02,175,123,0.949,1.164,-5.9,16.6,0.055,0.459,0.703
open-interest squeeze,P23,64,38,1.298,1.199,52.1,45.5,0.112,0.455,0.594
top-trader ratio,P25,189,107,0.851,0.986,-13.1,-1.2,0.005,0.449,0.566
cross-venue funding divergence,P07,161,82,1.289,1.396,54.7,80.1,0.013,0.395,0.509
open-interest squeeze,P22,121,42,1.594,1.402,44.4,30.7,0.421,0.385,0.347
funding squeeze,P21,77,45,0.966,0.924,-7.1,-15.0,0.2,0.376,0.584
cross-venue funding divergence,P23,63,28,1.017,0.934,4.6,-17.9,0.065,0.328,0.444
open-interest squeeze,P13,79,61,2.113,1.94,104.5,82.2,0.324,0.316,0.772
open-interest squeeze,P06,149,73,1.03,0.997,4.1,-0.4,0.0,0.311,0.49
cross-venue funding divergence,P22,73,32,0.877,0.868,-31.1,-33.7,0.184,0.308,0.438
order-flow imbalance,P10,274,207,1.068,1.341,7.7,31.6,0.024,0.301,0.755
funding squeeze,P04,60,38,0.914,0.91,-9.6,-8.0,0.0,0.3,0.633
open-interest squeeze,P01,110,78,1.077,1.313,13.0,43.3,0.392,0.294,0.709
top-trader ratio,P17,79,79,1.338,1.338,27.5,27.5,0.29,0.29,1.0
cross-asset residual,P12,202,143,0.873,0.943,-37.2,-16.2,0.02,0.286,0.708
cross-venue funding divergence,P12,78,15,0.955,0.679,-10.2,-153.1,0.037,0.279,0.192
open-interest squeeze,P07,95,41,0.847,0.8,-35.9,-55.6,0.002,0.278,0.432
open-interest squeeze,P12,72,50,0.942,1.455,-12.0,68.2,0.005,0.243,0.694
order-flow imbalance,P05,86,65,1.228,1.711,33.8,88.4,0.022,0.24,0.756
cross-asset residual,P01,149,94,0.871,0.918,-45.7,-30.2,0.016,0.233,0.631
cross-asset residual,P18,226,167,1.08,1.047,16.1,10.4,0.101,0.229,0.739
funding squeeze,P15,62,23,2.153,0.801,150.0,-35.3,0.31,0.224,0.371
cross-asset residual,P07,179,140,0.92,1.095,-26.9,31.4,0.002,0.214,0.782
top-trader ratio,P01,125,101,1.085,1.018,9.1,1.8,0.195,0.205,0.808
top-trader ratio,P22,75,75,0.887,0.887,-11.2,-11.2,0.197,0.197,1.0
funding squeeze,P26,94,69,1.3,1.024,60.0,5.2,0.083,0.188,0.734
cross-asset residual,P26,291,227,1.212,1.047,37.2,9.6,0.0,0.188,0.78
funding squeeze,P03,64,37,0.907,0.79,-14.1,-42.4,0.066,0.187,0.578
top-trader ratio,P13,79,79,1.271,1.271,31.1,31.1,0.185,0.185,1.0
funding squeeze,P22,94,94,1.121,1.121,28.2,28.2,0.174,0.174,1.0
order-flow imbalance,P22,182,99,0.945,1.2,-10.2,25.9,0.033,0.174,0.544
open-interest squeeze,P26,118,72,0.985,0.886,-2.3,-18.4,0.129,0.172,0.61
order-flow imbalance,P11,491,309,0.861,0.96,-20.3,-5.7,0.0,0.171,0.629
cross-asset residual,P02,163,122,1.632,1.341,143.8,92.1,0.668,0.17,0.748
cross-venue funding divergence,P16,76,32,1.071,1.693,10.4,116.7,0.001,0.166,0.421
top-trader ratio,P21,106,52,0.966,1.343,-7.5,53.0,0.002,0.148,0.491
funding squeeze,P11,68,31,0.669,0.827,-169.3,-105.0,0.002,0.146,0.456
open-interest squeeze,P05,145,92,0.907,1.171,-11.9,19.1,0.001,0.142,0.634
open-interest squeeze,P20,144,101,1.076,1.164,13.3,28.2,0.006,0.141,0.701
top-trader ratio,P05,195,153,0.899,0.935,-14.8,-10.2,0.119,0.14,0.785
top-trader ratio,P23,78,78,1.266,1.266,33.9,33.9,0.131,0.131,1.0
open-interest squeeze,P08,67,31,0.911,1.193,-15.8,28.6,0.0,0.127,0.463
funding squeeze,P17,73,41,1.045,0.851,9.6,-30.2,0.003,0.121,0.562
open-interest squeeze,P21,87,73,1.867,1.601,119.9,86.0,0.144,0.118,0.839
top-trader ratio,P02,65,65,1.523,1.523,53.9,53.9,0.113,0.113,1.0
open-interest squeeze,P03,100,84,1.009,0.82,1.0,-19.3,0.067,0.103,0.84
cross-venue funding divergence,P06,85,78,0.967,1.089,-8.4,22.0,0.048,0.103,0.918
cross-asset residual,P25,210,160,0.756,0.895,-69.7,-23.8,0.01,0.102,0.762
funding squeeze,P20,63,28,0.596,0.544,-142.3,-155.9,0.006,0.101,0.444
order-flow imbalance,P26,82,47,1.067,0.751,13.1,-56.0,0.274,0.1,0.573
open-interest squeeze,P19,151,131,0.997,0.827,-0.4,-26.4,0.291,0.091,0.868
cross-venue funding divergence,P19,123,93,0.903,0.962,-26.4,-10.6,0.035,0.087,0.756
top-trader ratio,P26,102,102,1.204,1.204,30.8,30.8,0.082,0.082,1.0
cross-venue funding divergence,P10,115,55,0.556,0.819,-70.0,-19.9,0.0,0.081,0.478
cross-asset residual,P05,424,336,0.81,1.008,-25.4,1.0,0.0,0.077,0.792
cross-venue funding divergence,P05,101,85,1.291,1.325,29.1,33.0,0.061,0.076,0.842
funding squeeze,P05,75,49,1.008,0.802,1.0,-28.6,0.053,0.076,0.653
cross-asset residual,P09,361,277,0.771,0.826,-43.4,-32.0,0.001,0.075,0.767
order-flow imbalance,P02,171,128,0.794,1.0,-70.0,-0.0,0.008,0.075,0.749
cross-venue funding divergence,P02,76,68,1.172,1.065,39.8,16.3,0.0,0.067,0.895
cross-asset residual,P06,195,131,1.15,1.284,38.7,83.9,0.004,0.067,0.672
order-flow imbalance,P18,162,109,0.942,0.84,-13.5,-40.3,0.04,0.059,0.673
top-trader ratio,P24,68,68,0.824,0.824,-22.2,-22.2,0.048,0.048,1.0
order-flow imbalance,P21,345,273,1.166,0.918,28.2,-15.5,0.447,0.048,0.791
top-trader ratio,P19,129,104,0.883,0.681,-17.6,-51.0,0.004,0.045,0.806
cross-venue funding divergence,P14,64,26,0.423,0.66,-152.0,-53.3,0.0,0.043,0.406
order-flow imbalance,P08,273,201,0.704,0.843,-56.1,-28.4,0.0,0.04,0.736
order-flow imbalance,P16,139,126,0.949,1.402,-11.7,72.2,0.006,0.04,0.906
order-flow imbalance,P23,290,194,0.859,0.877,-23.7,-20.9,0.002,0.036,0.669
top-trader ratio,P10,302,192,1.251,1.275,25.4,28.3,0.082,0.034,0.636
top-trader ratio,P12,129,129,0.812,0.812,-27.1,-27.1,0.031,0.031,1.0
open-interest squeeze,P14,83,51,0.93,1.339,-10.4,47.0,0.001,0.031,0.614
order-flow imbalance,P04,160,90,1.095,1.116,13.1,15.5,0.035,0.029,0.562
order-flow imbalance,P01,174,125,0.997,0.883,-0.8,-29.5,0.0,0.024,0.718
funding squeeze,P06,96,64,0.939,0.912,-15.5,-23.9,0.007,0.023,0.667
cross-venue funding divergence,P09,53,37,1.177,1.42,42.6,63.6,0.002,0.022,0.698
order-flow imbalance,P24,165,123,1.119,1.159,22.4,33.3,0.018,0.022,0.745
funding squeeze,P12,69,69,0.727,0.727,-71.3,-71.3,0.021,0.021,1.0
top-trader ratio,P11,95,50,0.658,0.492,-72.7,-104.5,0.006,0.021,0.526
top-trader ratio,P16,145,145,0.85,0.85,-17.5,-17.5,0.019,0.019,1.0
cross-asset residual,P13,218,183,0.886,0.93,-27.3,-17.1,0.004,0.016,0.839
open-interest squeeze,P17,79,47,1.156,0.814,20.6,-25.4,0.025,0.014,0.595
cross-asset residual,P04,368,231,0.821,0.98,-20.5,-2.0,0.0,0.012,0.628
order-flow imbalance,P13,123,110,0.997,0.76,-0.4,-44.5,0.017,0.01,0.894
order-flow imbalance,P12,298,241,0.919,1.127,-19.8,28.3,0.0,0.01,0.809
cross-asset residual,P08,269,230,0.794,0.74,-42.9,-49.9,0.001,0.01,0.855
order-flow imbalance,P19,187,114,0.868,0.653,-48.8,-146.9,0.002,0.01,0.61
order-flow imbalance,P20,241,191,1.316,0.956,73.3,-11.0,0.034,0.007,0.793
order-flow imbalance,P03,303,214,0.749,0.74,-27.7,-28.2,0.0,0.006,0.706
top-trader ratio,P04,109,48,0.849,0.607,-17.5,-37.2,0.025,0.006,0.44
order-flow imbalance,P15,149,61,1.123,1.189,15.8,24.6,0.0,0.005,0.409
