market,name,n_trials,med_lstar,frac_act_tb,tb_pt_rate,tb_vert_rate,ts_prec,fx_prec,tb_prec,base_ts,ts_pf,fx_pf,tb_pf,ts_sr_ann,fx_sr_ann,tb_sr_ann,ts_dsr,fx_dsr,tb_dsr,ts_pbo,fx_pbo,tb_pbo
crypto,1000SHIBUSDT,9,100.0,0.9746,0.7024,0.0003,0.6191,0.6264,0.5851,0.518,1.6976,1.9415,1.9257,11.0381,15.9578,14.3781,1.0,1.0,1.0,0.4571,0.1286,0.1
crypto,AAVEUSDT,9,54.0,0.9621,0.7014,0.0002,0.5529,0.522,0.7036,0.5635,0.9942,1.1751,1.3143,-0.0805,2.4646,4.0534,0.0052,0.8568,0.9909,0.9714,0.8714,0.5714
crypto,ALGOUSDT,9,23.0,0.968,0.7014,0.0004,0.5492,0.5385,0.8037,0.5158,1.258,1.0751,1.1146,4.1638,1.8362,2.6653,0.3763,0.0,0.0001,0.4714,0.7143,0.4571
crypto,APEUSDT,9,107.0,0.9842,0.7025,0.0003,0.5297,0.5299,0.5677,0.5518,1.2244,1.4799,1.5234,3.1255,8.4203,8.9234,0.7286,1.0,1.0,0.7714,0.1571,0.0714
crypto,APTUSDT,9,52.0,0.9775,0.692,0.0006,0.5628,0.5613,0.6782,0.5328,1.3571,1.6168,1.8373,4.877,8.3781,9.9265,0.0,0.5081,0.7524,0.4429,0.1429,0.2571
crypto,ARBUSDT,9,23.0,0.948,0.6835,0.0007,0.515,0.5337,0.7891,0.517,1.2052,1.0479,1.0472,3.2441,1.2104,1.4332,0.0186,0.0,0.0,0.5857,0.8286,0.9286
crypto,ATOMUSDT,9,102.0,0.9565,0.6996,0.0007,0.5627,0.5787,0.5747,0.5868,1.4338,1.3498,1.1376,7.3283,6.9081,2.8563,1.0,0.9977,0.0008,0.7,0.4143,1.0
crypto,AVAXUSDT,9,109.0,0.9464,0.6803,0.0004,0.6466,0.6466,0.5522,0.5295,3.0639,2.8962,2.3721,16.3266,16.158,13.2233,1.0,1.0,1.0,0.0,0.0429,0.2429
crypto,BCHUSDT,9,102.0,0.9516,0.6935,0.0005,0.486,0.4955,0.587,0.5763,1.0054,0.9054,0.9548,0.0515,-1.9529,-0.6065,0.0,0.0,0.0,0.6429,0.5,0.5143
crypto,BNBUSDT,9,107.0,0.9465,0.7003,0.0006,0.5321,0.5371,0.5517,0.6027,1.2098,1.1236,1.6292,3.7353,2.8263,8.5366,0.0,0.0,1.0,0.4143,0.8571,0.1143
crypto,BTCUSDT,9,99.0,0.9902,0.7075,0.0001,0.5528,0.5567,0.5838,0.5629,1.1563,1.129,1.1311,2.0693,3.068,3.0805,0.0,0.0004,0.0,0.7286,0.6143,0.9286
crypto,DOGEUSDT,9,25.0,0.9578,0.6915,0.0004,0.5777,0.5787,0.8779,0.558,1.6444,1.3891,1.4096,6.0516,4.884,5.0407,0.0012,0.0,0.0,0.4571,0.2571,0.3429
crypto,DOTUSDT,9,49.0,0.9542,0.6914,0.0005,0.5359,0.5475,0.6476,0.5019,1.4296,1.3877,1.3541,6.3991,8.38,7.3588,1.0,1.0,0.998,0.4571,0.3143,0.3429
crypto,ETCUSDT,9,101.0,0.9791,0.6975,0.0005,0.5772,0.5675,0.58,0.5332,2.4191,1.6771,2.0393,13.4681,10.7055,12.6165,1.0,1.0,1.0,0.0571,0.1143,0.0857
crypto,ETHUSDT,9,54.0,0.9819,0.6923,0.0002,0.5231,0.5272,0.6856,0.5865,0.8828,0.9418,0.9333,-1.817,-0.9627,-1.0992,0.0,0.0,0.0,0.8143,0.6,0.6571
crypto,HBARUSDT,9,108.0,0.9779,0.7174,0.0006,0.495,0.5473,0.5967,0.5962,1.3892,1.0209,1.1506,4.4224,0.334,1.9391,0.0,0.0,0.0,0.2714,0.5571,0.5714
crypto,ICPUSDT,9,102.0,0.966,0.6953,0.0001,0.5028,0.5295,0.5762,0.5377,1.7927,1.1399,1.1111,6.67,3.3521,2.5948,1.0,0.7024,0.9562,0.2429,0.5429,0.8571
crypto,LINKUSDT,9,50.0,0.9376,0.6772,0.0006,0.4997,0.522,0.6412,0.5023,1.1767,1.0008,0.9848,3.3222,0.0205,-0.376,0.007,0.0,0.0,0.3714,0.4,0.1429
crypto,LTCUSDT,9,52.0,0.9433,0.6741,0.0006,0.5811,0.5655,0.6366,0.562,1.005,1.139,1.2859,0.0556,2.6655,3.4278,0.0,0.0183,0.269,0.9143,0.3,0.4429
crypto,NEARUSDT,9,50.0,0.9752,0.7074,0.0007,0.5653,0.5581,0.6729,0.5292,1.3538,1.4017,1.3957,6.1214,8.555,8.2614,1.0,1.0,1.0,0.8143,0.4143,0.3714
crypto,SOLUSDT,9,106.0,0.9601,0.6897,0.0002,0.688,0.6916,0.5361,0.6441,3.3745,3.3119,2.8565,16.4355,17.5702,10.2196,1.0,1.0,1.0,0.0857,0.0286,0.1857
crypto,SUIUSDT,9,99.0,0.9617,0.6881,0.0002,0.594,0.6223,0.5445,0.6239,2.3139,2.5159,1.7845,15.3449,17.9689,11.5707,1.0,1.0,0.2807,0.0714,0.0143,0.2429
crypto,TRXUSDT,9,99.0,0.9813,0.7119,0.0004,0.499,0.5293,0.5882,0.5681,0.8164,0.9637,1.0447,-3.6011,-0.9163,1.0222,0.0,0.0,0.0,0.5143,0.6143,0.4429
