market,instrument,feature,family,sharpe_clock,n_clock,sharpe_cusum,n_cusum,delta_cusum_minus_clock
crypto,BTCUSDT,sadf,breaks(SADF),-0.20998145459684012,734,-0.22859171479000964,324,-0.018610260193169526
crypto,BTCUSDT,ent_shannon,entropy,0.1365036725641883,696,0.1193777663940132,310,-0.017125906170175106
crypto,BTCUSDT,ent_lz,entropy,-0.08779308069553117,696,-0.0484678592051051,310,0.03932522149042607
crypto,BTCUSDT,ent_konto,entropy,-0.07001692297689359,696,-0.0776962631157439,310,-0.007679340138850313
crypto,ETHUSDT,sadf,breaks(SADF),0.09998728410904612,734,0.07664819072143578,332,-0.023339093387610338
crypto,ETHUSDT,ent_shannon,entropy,-0.1859814261067343,696,-0.1549508212305695,312,0.031030604876164797
crypto,ETHUSDT,ent_lz,entropy,0.05345364731088285,696,0.028875459579336675,312,-0.024578187731546172
crypto,ETHUSDT,ent_konto,entropy,-0.0874631562053271,696,-0.11485252317427382,312,-0.027389366968946713
equities,SPY,sadf,breaks(SADF),0.13438779047271018,734,0.1349068383946228,265,0.0005190479219126243
equities,SPY,ent_shannon,entropy,-0.08555907581913927,696,-0.10843154303372185,253,-0.02287246721458258
equities,SPY,ent_lz,entropy,-0.20785517083524555,696,-0.18224201381324542,253,0.02561315702200012
equities,SPY,ent_konto,entropy,0.08960641110533434,696,0.049145050994030624,253,-0.04046136011130371
equities,XLK,sadf,breaks(SADF),-0.1301714395182023,735,-0.1277406736988797,240,0.0024307658193225834
equities,XLK,ent_shannon,entropy,0.0992182693584716,697,0.0714754093001549,230,-0.027742860058316693
equities,XLK,ent_lz,entropy,0.09924502748974989,697,0.09422801260884717,230,-0.005017014880902726
equities,XLK,ent_konto,entropy,0.07365436896148968,697,0.020558341430868,230,-0.053096027530621676
forex,EURUSD,sadf,breaks(SADF),-0.0022365065430187308,735,0.03945411338367498,290,0.04169061992669371
forex,EURUSD,ent_shannon,entropy,-0.06436937237758326,697,-0.08961114276537098,275,-0.025241770387787715
forex,EURUSD,ent_lz,entropy,0.002716462465024298,697,0.002037910685645207,275,-0.0006785517793790911
forex,EURUSD,ent_konto,entropy,0.14142911515095105,697,0.14538730385004825,275,0.003958188699097198
forex,USDJPY,sadf,breaks(SADF),0.0709179860596201,734,0.07933085991307279,296,0.008412873853452685
forex,USDJPY,ent_shannon,entropy,-0.09094766835502513,696,-0.10801301253358218,281,-0.017065344178557054
forex,USDJPY,ent_lz,entropy,0.06504527557836011,696,0.10820802400397278,281,0.04316274842561267
forex,USDJPY,ent_konto,entropy,-0.1279042886515868,696,-0.0668869824783291,281,0.06101730617325769
