market,instrument,feature,n_oos,sharpe,mean,skew,kurt
crypto,BTCUSDT,sadf,734,-0.21269748971247368,-0.002848293322619309,-0.05377394217085827,3.265345267694002
crypto,BTCUSDT,ent_shannon,696,0.13391324061975232,0.0018378305548529586,0.10534184283672296,3.208317301709947
crypto,BTCUSDT,ent_lz,696,-0.09252738788068132,-0.0012769354862782831,-0.14078807081644124,3.215806686370316
crypto,BTCUSDT,ent_konto,696,-0.07059253135475706,-0.0009749859052500364,-0.15658172072961649,3.2173464971760417
crypto,ETHUSDT,sadf,734,0.09868229942656653,0.0017736760176600066,-0.20308370411493362,3.1021260506376116
crypto,ETHUSDT,ent_shannon,696,-0.18732591636093768,-0.0033000149141655974,-0.06373013502684699,3.0170570117222093
crypto,ETHUSDT,ent_lz,696,0.05029651806592078,0.0008987777413450469,-0.07845434928339068,3.0764839716955237
crypto,ETHUSDT,ent_konto,696,-0.08866848797616024,-0.0015807159636170535,-0.1903590762205166,2.992634028718253
equities,SPY,sadf,734,0.13438779047271018,0.0011386097278112655,0.5118808329200573,3.3030406550382416
equities,SPY,ent_shannon,696,-0.08555907581913927,-0.0007354872116829089,-0.044309977585766415,3.5988064089863543
equities,SPY,ent_lz,696,-0.20785517083524555,-0.001753853627510502,-0.0778999810118572,3.6063049284442115
equities,SPY,ent_konto,696,0.08960641110533434,0.0007691391579677413,-0.3022036448889653,3.79129853810738
equities,XLK,sadf,735,-0.1301714395182023,-0.007503610069650743,-10.733936336515875,125.27722508301854
equities,XLK,ent_shannon,697,0.0992182693584716,0.005887788522333439,10.452084450227126,118.78093589425956
equities,XLK,ent_lz,697,0.09924502748974989,0.005885857230792432,10.441930336133233,118.68556960187286
equities,XLK,ent_konto,697,0.07365436896148968,0.004380132492574996,10.455536444579934,118.82879350727346
forex,EURUSD,sadf,735,-0.0022365065430187308,-5.7854914252954566e-06,0.01955219129954098,3.8138639505838934
forex,EURUSD,ent_shannon,697,-0.06436937237758326,-0.00016572149700558585,0.11663082267426894,3.9343134522874026
forex,EURUSD,ent_lz,697,0.002716462465024298,7.008314430662951e-06,-0.10972280174935374,3.8982379403029737
forex,EURUSD,ent_konto,697,0.14142911515095105,0.00036122514492162197,0.12812059052714236,3.8651875301558416
forex,USDJPY,sadf,734,0.0709179860596201,0.00022281504332847285,0.04918148512113786,3.198283497046469
forex,USDJPY,ent_shannon,696,-0.09094766835502513,-0.00028839090639708117,0.09163655253052498,3.2196162184887136
forex,USDJPY,ent_lz,696,0.06504527557836011,0.00020667464217522614,0.2903945030214876,3.1083190207904714
forex,USDJPY,ent_konto,696,-0.1279042886515868,-0.00040392198645808325,0.11011709981728256,3.245784938149198
