market,estimator,basis
crypto,roll_spread,price-only
crypto,corwin_schultz,price-only
crypto,amihud,price-only
crypto,tick_sign,price-only
crypto,tick_flow,price-only
crypto,kyle,true
crypto,hasbrouck,true
crypto,vpin,true
crypto,ofi,true
equity,roll_spread,price-only
equity,corwin_schultz,price-only
equity,amihud,price-only
equity,tick_sign,price-only
equity,tick_flow,price-only
equity,kyle,BVC
equity,hasbrouck,BVC
equity,vpin,BVC
equity,ofi,BVC
forex,roll_spread,price-only
forex,corwin_schultz,price-only
forex,amihud,price-only
forex,tick_sign,price-only
forex,tick_flow,price-only
forex,kyle,tick
