market,instrument,n_obs,n_feat,features,dir_base,dir_auc,vol_auc,net_sharpe,net_mean_bp
crypto,BTCUSDT,8709,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5092433115168217,0.5081368361045081,0.5351272515626406,-0.030865522895592346,-3.0524187460707704
crypto,ETHUSDT,8709,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5060282466414054,0.5131167745671537,0.550441754729996,-0.0280915527835726,-3.4590835887628564
crypto,SOLUSDT,8709,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5028131817659892,0.49059089547255175,0.5412868833407715,-0.020278967039263126,-4.076421328685086
crypto,BNBUSDT,8709,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5147548513032495,0.5037565716486119,0.5456605577055088,-0.022041242237668155,-2.585344607456317
crypto,XRPUSDT,8704,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5068933823529411,0.5154926947740736,0.5312795109353721,-0.014652811434091688,-2.2777498237878837
crypto,DOGEUSDT,8707,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5099345354312622,0.5098164865015745,0.5487432332467487,-0.016664481262663487,-3.065115184052484
crypto,LTCUSDT,8709,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.503961419221495,0.5161419552107483,0.5285364537978873,-0.014903664169504368,-2.211569698752231
crypto,LINKUSDT,8709,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5035021242392926,0.5036101075896029,0.535290082618912,-0.022662582200862518,-3.955244350352447
crypto,AVAXUSDT,8709,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.49511999081410035,0.5096056120102377,0.5352531359054388,-0.015692713797697593,-3.0496785680788223
crypto,TRXUSDT,8668,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5092293493308722,0.5295905888344589,0.5304401888471159,0.005212473223364585,0.5671709746315022
equity,SPY,42421,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5174559769925273,0.5204582774040456,0.5571376380851422,-0.2202438193006756,-9.734958078745917
equity,QQQ,42410,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5164583824569677,0.5180228851479524,0.5529793471327634,-0.22265802940036253,-12.448349246440339
equity,IWM,42400,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5097877358490566,0.5068296766448444,0.5493363339449635,-0.3166829310463031,-19.148933468739173
equity,XLK,42230,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5143973478569737,0.5098844854683574,0.5514583053663925,-0.2004151211282463,-14.42647794523745
equity,XLF,42395,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.4990211109800684,0.5124858496056831,0.5526788445531589,-0.6754019214232038,-117.08051276916152
equity,XLE,42397,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5054838785763144,0.5144029711792822,0.5491938587976389,-0.4471668061399282,-40.44687091097612
equity,XLV,42255,9,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle;hasbrouck;vpin;ofi,0.5077505620636611,0.5084266199629828,0.5422937134208669,-0.39989118493134285,-20.840492455689727
forex,EURUSD,8694,6,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle,0.499194847020934,0.5178040995437765,0.5437155781912657,0.004922248190974272,0.07491382948634762
forex,GBPUSD,8694,6,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle,0.5010351966873706,0.5001251449367281,0.5378605964817323,-0.027784667580886626,-0.4947343094248917
forex,AUDUSD,8694,6,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle,0.48987807683459855,0.5120755357541588,0.549786573657873,-0.0015891206807326808,-0.03360433237520279
forex,USDCHF,8694,6,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle,0.5028755463538073,0.502550606067775,0.5429596960473883,-0.021207565195981375,-0.3335418297710577
forex,USDCAD,8694,6,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle,0.4996549344375431,0.5003832519239317,0.5396170333526693,-0.02492063749242901,-0.30872127240840314
forex,NZDUSD,8694,6,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle,0.4909132735219692,0.5058590295288853,0.526998172127265,-0.018869696604734296,-0.39778120410829265
forex,EURGBP,8694,6,roll_spread;corwin_schultz;amihud;tick_sign;tick_flow;kyle,0.49229353577179663,0.5076067854484233,0.5326431953920546,-0.025089049876232134,-0.29173179634953333
