instrument,true_dir_auc,true_vol_auc,bvc_dir_auc,bvc_vol_auc,tick_dir_auc,tick_vol_auc
BTCUSDT,0.5029091256907815,0.5276498499150133,0.49817700035077767,0.5408568184588028,0.5043381291393035,0.5324274080831962
ETHUSDT,0.5057626130203562,0.5435340189267684,0.5158577434456239,0.5393656039654317,0.5046268523445053,0.5268295911995764
SOLUSDT,0.49375286582971084,0.5350893640994273,0.4981715709699521,0.5468519256470069,0.49545769718615446,0.5293471762780539
BNBUSDT,0.5011689438305215,0.530073911077286,0.5223489647075427,0.5499451536929661,0.5055105036659434,0.544211655073973
XRPUSDT,0.5060876880061723,0.5158540646203691,0.5109591527054914,0.5501204094456179,0.5136358779456268,0.5192877873634137
DOGEUSDT,0.5165063703399697,0.5251866897842687,0.5136256325499858,0.5401052458872367,0.5029803936749686,0.5176788781935032
LTCUSDT,0.5136441881185129,0.5078028046939679,0.515216109495484,0.5580968883773983,0.5072360629444049,0.5222257163488465
LINKUSDT,0.4967351283997266,0.5075359294989016,0.4985609468091501,0.5476300280405786,0.5165472501361704,0.5175716256133599
AVAXUSDT,0.5086172958495333,0.5147342819743094,0.528770667132273,0.5551874951118179,0.5121141345485366,0.5270031604118728
TRXUSDT,0.5207399964975651,0.5151648427871339,0.5167334787293786,0.5374234258782361,0.5112613725365628,0.523164920431533
