market,name,n_ev,n_feat,base_rate,avg_uniqueness,n_clusters,rf_gap_nll,hgb_gap_nll,rf_gap_acc,hgb_gap_acc,rf_ll_is,rf_ll_oos,hgb_ll_is,hgb_ll_oos,rf_dsr,hgb_dsr,rf_sr_ann,hgb_sr_ann,rf_pf,hgb_pf,rf_sr_ann_acc,hgb_sr_ann_acc,rf_cfg_same,hgb_cfg_same,mdi_bias,mda_bias,cmda_bias,stab_mdi,stab_mda,stab_cmda,stab_random,stab_mda_z,n_cpcv_paths
crypto,APEUSDT,315,10,0.4889,0.9703,6,0.1227,0.4933,0.1227,0.4933,0.5507,0.6734,0.2513,0.7446,0.0161,0.1176,-0.6541,-0.1046,0.8557,0.9749,-0.6541,-0.1046,1,1,0.7455,0.7212,0.4724,0.9333,0.239,0.5406,0.2005,2.1378,15
crypto,AAVEUSDT,371,10,0.5013,0.9764,6,0.1239,0.5566,0.1551,0.5566,0.5782,0.7022,0.2545,0.8111,0.0,0.0004,-1.6144,-0.8909,0.6913,0.8281,-1.3431,-0.8909,0,1,0.3697,-0.3091,0.3262,0.4362,0.2333,0.3551,0.2005,1.8207,15
crypto,ALGOUSDT,361,10,0.518,0.983,6,0.1142,0.57,0.1142,0.57,0.5634,0.6776,0.2597,0.8298,0.0242,0.0002,-0.4569,-1.3076,0.9022,0.755,-0.4569,-1.3076,1,1,0.4545,0.1515,0.7026,0.8714,0.3219,0.5547,0.2005,6.7363,15
crypto,1000SHIBUSDT,358,10,0.4916,0.9853,6,0.1107,0.514,0.1107,0.8698,0.5536,0.6642,0.232,0.746,0.0008,0.0001,-1.0142,-1.313,0.8001,0.7584,-1.0142,-0.254,1,0,0.4909,-0.0061,0.7403,0.7762,0.2829,0.5136,0.2005,4.5692,15
crypto,AVAXUSDT,320,10,0.5438,0.9895,6,0.1292,0.5368,0.1816,0.7586,0.5507,0.68,0.2585,0.7952,0.094,0.5126,-0.1255,0.6501,0.9714,1.1516,0.5734,0.9858,0,0,0.4788,0.2,0.7026,0.6114,0.2619,0.4826,0.2005,3.4064,15
crypto,APTUSDT,375,10,0.512,0.9713,6,0.1006,0.5282,0.1006,0.5282,0.5686,0.6692,0.2502,0.7784,0.1274,0.1467,-0.2942,-0.2375,0.9437,0.9553,-0.2942,-0.2375,1,1,0.6727,0.8061,0.7056,0.8286,0.3019,0.5948,0.2005,5.6263,15
crypto,ATOMUSDT,363,10,0.5041,0.9781,6,0.1181,0.5919,0.1181,0.8435,0.5878,0.7059,0.269,0.8609,0.0001,0.0001,-1.5832,-1.6521,0.6901,0.6806,-1.5832,-1.3417,1,0,0.4545,0.3576,-0.1482,0.4838,0.1695,0.3824,0.2005,-1.7207,15
crypto,ARBUSDT,371,10,0.5418,0.9719,6,0.1027,0.5503,0.1334,0.5503,0.5737,0.6765,0.2693,0.8196,0.0268,0.1205,-1.0764,-0.5344,0.8297,0.9166,-0.8679,-0.5344,0,1,0.3212,-0.1394,-0.2717,0.4276,0.3248,0.5554,0.2005,6.8949,15
crypto,BCHUSDT,354,10,0.5904,0.9762,6,0.1245,0.5258,0.5157,0.5258,0.5714,0.6958,0.2585,0.7843,0.0197,0.4003,-0.445,0.5833,0.9114,1.1185,0.0046,0.5833,0,1,-0.2,-0.7697,-0.426,0.5324,0.2295,0.3875,0.2005,1.6092,15
crypto,BNBUSDT,363,10,0.4931,0.9773,6,0.1133,0.5642,0.1133,0.5642,0.5764,0.6897,0.2732,0.8375,0.0,0.0,-1.9277,-1.8437,0.6478,0.6407,-1.9277,-1.8437,1,1,0.2242,-0.5152,0.0125,0.5124,0.239,0.4436,0.2005,2.1378,15
crypto,BTCUSDT,351,10,0.5356,0.987,6,0.1354,0.5025,0.1354,0.706,0.5176,0.653,0.2323,0.7347,0.0048,0.0599,-0.6707,-0.1143,0.8638,0.9748,-0.6707,0.3919,1,0,0.5636,0.697,0.7591,0.4952,0.3686,0.6317,0.2005,9.3263,15
crypto,DOGEUSDT,376,10,0.4814,0.9794,6,0.1042,0.5306,0.1042,0.5306,0.5719,0.6761,0.2462,0.7768,0.0053,0.0089,-1.1283,-1.0488,0.7764,0.7908,-1.1283,-1.0488,1,1,0.3818,-0.297,0.3388,0.4905,0.2714,0.5477,0.2005,3.9349,15
crypto,DOTUSDT,365,10,0.537,0.9767,6,0.1184,0.6189,0.1184,0.6189,0.5739,0.6924,0.2648,0.8836,0.0256,0.0045,-0.6741,-1.0304,0.8616,0.8011,-0.6741,-1.0304,1,1,0.6,-0.2364,0.4956,0.581,0.2429,0.4427,0.2005,2.3492,15
crypto,ETCUSDT,369,10,0.5257,0.9718,6,0.1161,0.5563,0.1161,0.5563,0.5765,0.6925,0.2717,0.828,0.0775,0.0175,-0.3502,-0.7409,0.9226,0.8551,-0.3502,-0.7409,1,1,0.7212,0.2485,0.5521,0.5829,0.2895,0.3668,0.2005,4.9392,15
