market,name,n_ev,frac_act,d_dsr_prob,d_dsr_disc,d_pf_prob,d_pf_disc,d_sr_prob,d_sr_disc,turn_ratio_prob,turn_ratio_disc,fixed_dsr,prob_dsr,disc_dsr,fixed_turn,prob_turn,disc_turn,pbo_prob,eff_n
crypto,1000SHIBUSDT,358,0.3128,0.0007,0.0288,0.3167,0.6549,0.9885,1.5467,0.1311,0.1196,0.0041,0.0048,0.0328,224.0,29.3764,26.8,0.0516,3
crypto,AAVEUSDT,267,0.3034,0.0002,0.0015,-0.0182,0.0066,0.0277,0.1018,0.1515,0.1531,0.0049,0.0051,0.0063,162.0,24.5455,24.8,0.5635,4
crypto,ALGOUSDT,222,0.5766,-0.0987,-0.1287,-0.0524,-0.0383,-0.1652,-0.1413,0.1774,0.3828,0.1989,0.1002,0.0702,256.0,45.4158,98.0,0.5437,3
crypto,APEUSDT,315,0.4317,-0.0313,-0.0066,-0.0196,0.0298,-0.0452,0.1665,0.2543,0.25,0.1437,0.1124,0.1371,272.0,69.1702,68.0,0.5794,2
crypto,APTUSDT,375,0.4853,-0.0443,-0.033,-0.0831,-0.0932,-0.323,-0.3562,0.1606,0.161,0.0544,0.0101,0.0214,324.6667,52.1344,52.2667,0.3968,3
crypto,ARBUSDT,249,0.4699,0.0329,0.0594,0.211,0.3544,0.5625,0.7746,0.1324,0.1402,0.1427,0.1756,0.2021,234.0,30.9838,32.8,0.377,3
crypto,ATOMUSDT,363,0.4573,-0.0136,-0.0118,-0.0325,-0.0103,-0.1726,-0.0715,0.2197,0.2183,0.0147,0.0011,0.0029,240.0,52.7186,52.4,0.2817,4
crypto,AVAXUSDT,214,0.8271,0.0092,-0.0484,-0.1366,-0.1381,-0.5018,-0.5038,0.1658,0.1633,0.0972,0.1064,0.0489,354.0,58.7026,57.8,0.6071,3
crypto,BCHUSDT,354,0.7655,0.007,0.0267,-0.0014,0.0082,-0.008,0.0333,0.1934,0.1934,0.0057,0.0128,0.0324,542.0,104.8159,104.8,0.4921,3
crypto,BNBUSDT,217,0.6406,-0.0144,-0.0051,-0.1174,-0.0768,-0.3378,-0.1515,0.1614,0.1623,0.0272,0.0128,0.0221,276.0,44.5508,44.8,0.75,3
crypto,BTCUSDT,222,0.3604,-0.004,-0.0009,0.0701,0.1705,0.2119,0.4067,0.1339,0.1325,0.0049,0.0009,0.004,160.0,21.4184,21.2,0.0278,3
crypto,DOGEUSDT,376,0.4309,-0.0016,-0.0062,-0.0256,-0.1588,-0.1151,0.0887,0.2895,0.0645,0.0092,0.0075,0.003,186.0,53.8383,12.0,0.8373,4
crypto,DOTUSDT,365,0.5342,0.0283,0.0174,-0.0251,0.0219,-0.0761,-0.0556,0.2216,0.1448,0.2398,0.2681,0.2572,326.0,72.2373,47.2,0.5079,3
crypto,ETCUSDT,369,0.5041,0.0005,0.007,-0.1414,-0.1287,-0.5462,-0.486,0.2426,0.2424,0.0009,0.0014,0.0079,370.0,89.7674,89.7,0.1746,4
