market,allocator,oos_vol_ann,oos_sharpe_ann,dsr,mean_eff_n,mean_hhi,mean_cond,n_folds,n_oos_days
AAVE_30m_17W,inv_var,53.6595,-3.119,0.0,53.6,0.0236,1.961671147448189e+19,25.0,1519.0
AAVE_30m_17W,hrp,55.9372,-2.831,0.0,41.5,0.0331,1.961671147448189e+19,25.0,1519.0
AAVE_30m_17W,hrp_denoise,55.9372,-2.831,0.0,41.5,0.0331,7.954518496877065e+17,25.0,1519.0
AAVE_30m_17W,nco_denoise_detone,59.0128,-2.818,0.0,38.4,0.0313,4.6935956245306157e+17,25.0,1519.0
AAVE_30m_17W,nco,63.1742,-3.152,0.0,37.8,0.0354,1.961671147448189e+19,25.0,1519.0
AAVE_30m_17W,min_var_raw,80.9169,-4.059,0.0,99.2,0.0101,1.961671147448189e+19,25.0,1519.0
AAVE_30m_17W,1/N,93.9041,-4.684,0.0,299.8,0.0033,1.961671147448189e+19,25.0,1519.0
AAVE_30m_17W,mean_var_raw,97.9738,-3.245,0.0,82.2,0.0122,1.961671147448189e+19,25.0,1519.0
ALGO_30m_6W_1MetaW,hrp_denoise,41.1109,-4.064,0.0,21.8,0.0541,9.709373083823407e+17,6.0,373.0
ALGO_30m_6W_1MetaW,hrp,41.1109,-4.064,0.0,21.8,0.0541,2.854166591164461e+18,6.0,373.0
ALGO_30m_6W_1MetaW,inv_var,41.2092,-4.453,0.0,28.9,0.0404,2.854166591164461e+18,6.0,373.0
ALGO_30m_6W_1MetaW,nco_denoise_detone,50.5384,-4.116,0.0,23.2,0.052,2.7167666348364303e+18,6.0,373.0
ALGO_30m_6W_1MetaW,nco,58.5279,-3.219,0.0,26.5,0.0622,2.854166591164461e+18,6.0,373.0
ALGO_30m_6W_1MetaW,min_var_raw,85.601,-4.219,0.0,93.2,0.0108,2.854166591164461e+18,6.0,373.0
ALGO_30m_6W_1MetaW,1/N,94.1546,-5.631,0.0,299.3,0.0033,2.854166591164461e+18,6.0,373.0
ALGO_30m_6W_1MetaW,mean_var_raw,100.6887,-4.769,0.0,82.0,0.0122,2.854166591164461e+18,6.0,373.0
APE_30m_12W,inv_var,52.8494,-4.081,0.0,37.8,0.0409,5.829211290833501e+17,16.0,998.0
APE_30m_12W,hrp,56.2094,-3.719,0.0,31.3,0.0597,5.829211290833501e+17,16.0,998.0
APE_30m_12W,hrp_denoise,56.2094,-3.719,0.0,31.3,0.0597,1.9211694301352097e+18,16.0,998.0
APE_30m_12W,nco_denoise_detone,61.1684,-3.696,0.0,31.6,0.062,3.835851919422268e+18,16.0,998.0
APE_30m_12W,nco,62.1342,-3.822,0.0,27.0,0.0533,5.829211290833501e+17,16.0,998.0
APE_30m_12W,min_var_raw,86.8544,-4.519,0.0,100.9,0.0099,5.829211290833501e+17,16.0,998.0
APE_30m_12W,1/N,98.2308,-5.705,0.0,299.9,0.0033,5.829211290833501e+17,16.0,998.0
APE_30m_12W,mean_var_raw,102.0892,-3.967,0.0,81.4,0.0124,5.829211290833501e+17,16.0,998.0
ARB_30m_6W_1MetaW,inv_var,50.8144,-3.592,0.0,32.4,0.0377,9.561324865807912e+17,6.0,374.0
ARB_30m_6W_1MetaW,hrp,53.1593,-3.44,0.0,25.6,0.048,9.561324865807912e+17,6.0,374.0
ARB_30m_6W_1MetaW,hrp_denoise,53.1593,-3.44,0.0,25.6,0.048,9.153709828464978e+17,6.0,374.0
ARB_30m_6W_1MetaW,nco_denoise_detone,60.5181,-2.433,0.0,27.0,0.0473,5.790071513817655e+17,6.0,374.0
ARB_30m_6W_1MetaW,nco,65.1413,-1.915,0.001,25.0,0.0452,9.561324865807912e+17,6.0,374.0
ARB_30m_6W_1MetaW,min_var_raw,107.2652,-2.606,0.0,97.9,0.0103,9.561324865807912e+17,6.0,374.0
ARB_30m_6W_1MetaW,mean_var_raw,111.2397,-3.158,0.0,85.4,0.0117,9.561324865807912e+17,6.0,374.0
ARB_30m_6W_1MetaW,1/N,121.4388,-3.766,0.0,299.7,0.0033,9.561324865807912e+17,6.0,374.0
ATOM_30m_6W_1MetaW,inv_var,49.5413,-3.873,0.0,56.2,0.0208,4.363334026384711e+17,6.0,373.0
ATOM_30m_6W_1MetaW,hrp,51.4842,-3.568,0.0,34.5,0.034,4.363334026384711e+17,6.0,373.0
ATOM_30m_6W_1MetaW,hrp_denoise,51.4842,-3.568,0.0,34.5,0.034,9.638325035294751e+17,6.0,373.0
ATOM_30m_6W_1MetaW,nco_denoise_detone,57.8197,-3.06,0.0,38.2,0.0295,6.868099309200901e+17,6.0,373.0
ATOM_30m_6W_1MetaW,nco,59.7794,-2.963,0.0,29.2,0.0434,4.363334026384711e+17,6.0,373.0
ATOM_30m_6W_1MetaW,min_var_raw,77.0995,-5.148,0.0,97.8,0.0102,4.363334026384711e+17,6.0,373.0
ATOM_30m_6W_1MetaW,1/N,91.8707,-5.164,0.0,300.0,0.0033,4.363334026384711e+17,6.0,373.0
ATOM_30m_6W_1MetaW,mean_var_raw,101.9172,-3.307,0.0,79.7,0.0127,4.363334026384711e+17,6.0,373.0
AUDUSD_fx,hrp_denoise,0.0014,-0.277,0.0,2.6,0.5967,2.215518575107049e+20,11.0,684.0
AUDUSD_fx,hrp,0.0014,-0.277,0.0,2.6,0.5967,1.3639016339538451e+20,11.0,684.0
