market,allocator,oos_vol_ann,oos_sharpe_ann,dsr,mean_eff_n,mean_hhi,mean_cond,n_folds,n_oos_days
AAVE_30m_17W,1/N,0.015,-3.703,0.0,150.0,0.0067,183.4,25.0,1520.0
AAVE_30m_17W,inv_var,0.015,-3.703,0.0,150.0,0.0067,183.4,25.0,1520.0
AAVE_30m_17W,hrp_denoise,0.0156,-3.639,0.0,125.0,0.008,6.7,25.0,1520.0
AAVE_30m_17W,hrp,0.0156,-3.661,0.0,129.1,0.0078,183.4,25.0,1520.0
AAVE_30m_17W,nco_denoise_detone,0.0162,-3.617,0.0,112.1,0.009,1056410525206482.8,25.0,1520.0
AAVE_30m_17W,nco,0.0167,-3.645,0.0,79.9,0.0127,183.4,25.0,1520.0
AAVE_30m_17W,min_var_raw,0.0173,-3.069,0.0,68.4,0.0147,183.4,25.0,1520.0
AAVE_30m_17W,mean_var_raw,0.0196,-2.439,0.0,38.3,0.0264,183.4,25.0,1520.0
ALGO_30m_6W_1MetaW,1/N,0.0139,-4.083,0.0,150.0,0.0067,110.7,6.0,373.0
ALGO_30m_6W_1MetaW,inv_var,0.0139,-4.083,0.0,150.0,0.0067,110.7,6.0,373.0
ALGO_30m_6W_1MetaW,hrp_denoise,0.0141,-3.678,0.0,128.7,0.0078,5.6,6.0,373.0
ALGO_30m_6W_1MetaW,hrp,0.0141,-3.887,0.0,136.8,0.0073,110.7,6.0,373.0
ALGO_30m_6W_1MetaW,nco_denoise_detone,0.0148,-3.832,0.0,110.9,0.009,267866975846646.1,6.0,373.0
ALGO_30m_6W_1MetaW,nco,0.0154,-3.961,0.0,85.9,0.0117,110.7,6.0,373.0
ALGO_30m_6W_1MetaW,min_var_raw,0.0168,-3.258,0.0,70.8,0.0142,110.7,6.0,373.0
ALGO_30m_6W_1MetaW,mean_var_raw,0.0191,-3.179,0.0,39.6,0.0254,110.7,6.0,373.0
APE_30m_12W,1/N,0.0143,-5.085,0.0,149.9,0.0067,144.7,16.0,999.0
APE_30m_12W,inv_var,0.0143,-5.085,0.0,149.9,0.0067,144.7,16.0,999.0
APE_30m_12W,hrp,0.0148,-4.962,0.0,128.2,0.0078,144.7,16.0,999.0
APE_30m_12W,hrp_denoise,0.015,-4.826,0.0,124.3,0.0081,7.0,16.0,999.0
APE_30m_12W,nco_denoise_detone,0.0155,-4.904,0.0,109.8,0.0091,630146694999644.8,16.0,999.0
