family,H,oos_bars,oos_sharpe_bar,oos_pf,oos_sharpe_ann,clears_N30,clears_N40,clears_N80,deflation_verdict
lgbm,4,42000,0.0415,1.1481,3.231,True,True,True,clears expected-max (N=40)
lgbm,6,41922,0.0359,1.127,2.794,True,True,True,clears expected-max (N=40)
lgbm,8,42000,0.0335,1.1198,2.606,True,True,True,clears expected-max (N=40)
lgbm,12,42000,0.0342,1.1582,2.661,True,True,True,clears expected-max (N=40)
lgbm,24,42000,0.0465,1.1494,3.618,True,True,True,clears expected-max (N=40)
lgbm,48,42000,0.0336,1.1108,2.616,True,True,True,clears expected-max (N=40)
lgbm,72,42000,0.0432,1.1404,3.356,True,True,True,clears expected-max (N=40)
lgbm,120,42000,0.0329,1.1073,2.555,True,True,True,clears expected-max (N=40)
lgbm,168,42000,0.0307,1.0954,2.388,True,True,True,clears expected-max (N=40)
lgbm,336,42000,0.0281,1.0894,2.187,True,True,True,clears expected-max (N=40)
xgb,4,42000,0.0171,1.062,1.326,False,False,False,below expected-max (N=40)
xgb,6,42000,0.0159,1.07,1.236,False,False,False,below expected-max (N=40)
xgb,8,42000,0.0255,1.109,1.981,True,True,True,clears expected-max (N=40)
xgb,12,42000,0.0199,1.072,1.548,False,False,False,below expected-max (N=40)
xgb,24,42000,0.0262,1.09,2.041,True,True,True,clears expected-max (N=40)
xgb,48,42000,0.0136,1.043,1.061,False,False,False,below expected-max (N=40)
xgb,72,42000,0.0234,1.103,1.816,True,True,False,clears expected-max (N=40)
xgb,120,42000,0.0213,1.071,1.653,False,False,False,below expected-max (N=40)
xgb,168,42000,0.0255,1.105,1.981,True,True,True,clears expected-max (N=40)
xgb,336,42000,0.017,1.071,1.321,False,False,False,below expected-max (N=40)
catboost,4,42000,0.0363,1.125,2.825,True,True,True,clears expected-max (N=40)
catboost,6,42000,0.0492,1.157,3.825,True,True,True,clears expected-max (N=40)
catboost,8,42000,0.0419,1.138,3.257,True,True,True,clears expected-max (N=40)
catboost,12,42000,0.0519,1.172,4.039,True,True,True,clears expected-max (N=40)
catboost,24,42000,0.0317,1.1,2.465,True,True,True,clears expected-max (N=40)
catboost,48,42000,0.0399,1.135,3.104,True,True,True,clears expected-max (N=40)
catboost,72,42000,0.0241,1.08,1.877,True,True,False,clears expected-max (N=40)
catboost,120,42000,0.0237,1.077,1.845,True,True,False,clears expected-max (N=40)
catboost,168,42000,0.0375,1.125,2.913,True,True,True,clears expected-max (N=40)
catboost,336,42000,0.0196,1.081,1.521,False,False,False,below expected-max (N=40)
