asset,market,n_strats,n_windows,median_abscorr_shortlist,eff_n_bets,best_trial,best_sleeve_oos_sharpe_ann,hrp32_oos_sharpe_ann,n_construction_trials,portfolio_sr0_ann,portfolio_dsr,clears_dsr95
AAVE_30m_17W,crypto,50718,24,0.07655979463000025,21.78095899731501,hrp_16,-1.990011325046926,-2.6635900867451805,12,0.599833994299367,7.690967561270357e-10,False
ALGO_30m_6W_1MetaW,crypto,50718,5,0.08311498179690392,20.101408493524932,equal_8,-1.7867524982970224,-4.1777571573407455,12,1.4646730823170873,0.0005200303755888025,False
APE_30m_12W,crypto,50718,15,0.07347346421529052,21.96110251539687,hrp_8,-1.7583958874926195,-2.9359670259773263,12,0.8589584987871154,6.345560612810448e-07,False
ARB_30m_6W_1MetaW,crypto,50718,5,0.11304227177708959,16.77597195924443,equal_16,-0.6237899817570254,-1.031965614681774,12,0.32408574382204786,0.15181080017931892,False
ATOM_30m_6W_1MetaW,crypto,50718,5,0.07853373358082405,20.581279080451456,equal_32,-1.5623847388858354,-1.839087141039127,12,0.28445808435823916,0.02921090389236407,False
AUDUSD_fx,fx,6296,10,0.18324145598453578,5.138906773543012,equal_8,-2.3359685341386345,-2.6827384658607762,12,0.24903833776388987,7.529586311198163e-06,False
AVAX_30m_17W,crypto,50718,24,0.09994384550570334,17.864026686102463,equal_32,-0.6855499504879767,-0.7153141659464054,12,0.17410226807453472,0.02148856028453177,False
BCH_30m_20W,crypto,50718,29,0.07737886159706345,21.301210960965353,equal_8,-1.7273918027343258,-2.6667347011186586,12,0.5980565522224588,2.059716687570192e-09,False
BNB_15m_30W,crypto,33726,20,0.09019880382733658,19.7711036020821,hrp_8,-2.6765878062264883,-3.601478228971794,12,0.6283766890684721,1.5689500951429414e-12,False
BTC_30m_27W,crypto,30036,40,0.12042016951560615,16.426236212497564,equal_8,-1.699390276904141,-2.111605457924935,12,0.23802868273984665,1.558221022427674e-09,False
DOGE_30m_21W,crypto,32406,30,0.08153758445967642,19.88282981502107,hrp_8,-0.47889363608405167,-1.3403006553618881,12,0.4687272870771889,0.004979357189673883,False
DOT_30m_6W_1MetaW,crypto,50718,5,0.09257516200668622,19.651021122421547,hrp_8,0.15652317028444004,-1.5302741282259906,12,1.176134849646448,0.12581233448866347,False
ETC_30m_6W_1MetaW,crypto,50697,5,0.08773114602857099,19.876356025943206,hrp_32,-1.4713098012123897,-1.4713098012123897,12,0.3714326778833132,0.025342937682653752,False
ETH_30m_28W,crypto,48968,42,0.10337425015352905,17.821763070511384,hrp_8,-0.7414848416044916,-1.1497239079446528,12,0.25123086781057474,0.000900757736042062,False
EURGBP_fx,fx,6248,10,0.2890254474184335,3.2571178347643874,equal_8,-2.41940025574691,-2.7969396587176707,12,0.22882987338532368,3.6894626765650685e-09,False
EURUSD_fx,fx,6296,10,0.3369498764377607,3.6893490465241268,invvar_8,-0.4923794570462799,-0.74619212292672,12,0.14152552249290035,0.1477595346586571,False
GBPUSD_fx,fx,6296,10,0.32722352410871236,3.792405786572928,hrp_8,-2.2857454148872764,-2.419064176655349,12,0.09644735261944372,1.2955681098482207e-06,False
IWM_equity,equity,6296,73,0.22247147026319467,5.393504765604507,hrp_8,0.8470346654203201,0.7251944137988351,12,0.09558762867134392,0.9999925983463309,True
LINK_30M_23W_new,crypto,50717,34,0.06796657237356907,22.16085825464308,invvar_8,-0.9575812213500042,-1.8004175256266777,12,0.48312912106321126,1.394729818322727e-05,False
LTC_30m_27W,crypto,50389,40,0.07725151998927308,20.806802407989217,hrp_8,-2.0182019284561923,-3.0072946661283746,12,0.6409343682248834,5.666176904470119e-16,False
NEAR_30m_17W,crypto,50718,24,0.07938963599629249,21.144820511550538,equal_8,-1.2565870440771016,-1.7762016414215906,12,0.3179726479782205,0.00010025730087927733,False
NZDUSD_fx,fx,6296,9,0.14633311405625934,4.396191675253849,hrp_8,-3.322274078306034,-3.5744990816745883,12,0.2526641754742752,2.4919421549652617e-11,False
QQQ_equity,equity,6296,72,0.27876030238500954,5.087393280700997,equal_8,2.498919541796784,2.314638477820928,12,0.1292073694317757,1.0,True
SOL_1h_7W,crypto,33812,19,0.08297315979111708,18.948310632345006,equal_16,-0.4863411459306152,-0.939950695723676,12,0.5388299012010844,0.012948930764227198,False
SPY_equity,equity,6296,72,0.24777259151399217,5.368259747254344,equal_16,1.9584048741022893,1.8808803039823385,12,0.08004125024421353,1.0,True
TRX_30m_25W,crypto,50712,37,0.11285175273676172,16.917758060106006,hrp_8,-0.8785064027295375,-1.4386467531809497,12,0.3305988472431107,0.0002316697973694739,False
UNI_30M_17W_new,crypto,50718,24,0.062412786957780096,23.02662060802787,equal_8,-1.7800636597963824,-2.8089333080992707,12,0.6101810396204247,2.944772418600953e-09,False
USDCAD_fx,fx,6248,10,0.2513504432043191,3.4720884946000736,equal_16,-2.531085548556914,-2.5726896348425363,12,0.033700377524264025,9.569212981693528e-06,False
USDCHF_fx,fx,6296,10,0.26601699482233576,3.5253663875440235,equal_8,-2.0372926620768355,-2.1548004517133625,12,0.10235331697234183,3.645078922831935e-05,False
USDJPY_fx,fx,6296,8,0.30576025281351926,3.028630426055959,invvar_16,-0.3503153164992729,-0.39136343654421424,12,0.03326983452655616,0.2931580919102248,False
UVXY_equity,equity,6296,50,0.3219726530570218,4.5333268098894175,invvar_8,-0.6748818506543154,-1.356143055040846,12,0.38405771994286914,0.00031412420108674794,False
VXX_equity,equity,6296,64,0.3393201415926167,3.6247727923004356,equal_8,-1.2107197570592703,-1.805301595443508,12,0.3619641569899628,1.6256703971802865e-07,False
XLE_equity,equity,6296,72,0.22781264011009894,5.499664330543702,equal_8,-1.9559548273753118,-2.877664485586167,12,0.5678097635973858,1.8550094568673437e-15,False
XLF_equity,equity,6296,73,0.26602872840407255,4.720515359189599,invvar_8,-1.9020184644264175,-2.6866907752787066,12,0.47181105367814297,1.2958536572394922e-21,False
XLK_equity,equity,6296,69,0.2626616552359277,4.490682468019528,invvar_8,-1.368402479727198,-1.9668160058387087,12,0.37286244666294094,3.6342899993391505e-14,False
XLM_30m_6W_1MetaW,crypto,50718,5,0.076267295864555,20.923663554914665,invvar_32,-0.6534010508835877,-0.8504642921437093,12,0.14127730290773108,0.19718212804710333,False
XLV_equity,equity,6296,68,0.3149218331268705,3.842626830129,invvar_8,-2.4596860844997215,-3.366876377350219,12,0.5397339447406931,2.1863965971842788e-33,False
XRP_30M_25W_new,crypto,50718,37,0.07593931839851534,21.086175554432078,equal_8,-1.214759077404517,-1.9958791227824708,12,0.5121034744998004,9.181782540216176e-08,False
ZEC_30m_22W,crypto,50718,32,0.06944693183827896,22.24484081373373,equal_16,-1.0505424480656518,-1.3431627898219898,12,0.2065072515364927,0.00041013129354459287,False
