asset,market,n_strats,n_sampled,T,pbo,n_combos,logit_mean,logit_median
AAVE_30m_17W,crypto,50718,1500,1772,0.6341991341991342,924,-0.6416272282247687,-0.3733649530015786
ALGO_30m_6W_1MetaW,crypto,50718,1500,626,0.4751082251082251,924,-0.04848378809762318,0.10402483358793804
APE_30m_12W,crypto,50718,1500,1251,0.33874458874458874,924,0.29597935424970445,0.476504193848829
ARB_30m_6W_1MetaW,crypto,50718,1500,626,0.4155844155844156,924,0.3518899637792233,0.4596309276293562
ATOM_30m_6W_1MetaW,crypto,50718,1500,626,0.33766233766233766,924,0.36519549148832975,0.5104703208665344
AUDUSD_1h_forex,fx,50599,1500,246,0.36363636363636365,924,0.3800949487375109,0.546161479880273
AUDUSD_fx,fx,6296,1500,936,0.11904761904761904,924,2.6676733043433396,2.629119188837349
AVAX_30m_17W,crypto,50718,1500,1772,0.35173160173160173,924,0.33674897785301194,0.4512073608561359
BCH_30m_20W,crypto,50718,1500,2085,0.26082251082251084,924,0.7893357559806984,0.6613353529249313
BNB_15m_30W,crypto,33726,1500,1563,0.12445887445887446,924,1.542164617242852,1.5676502007938862
BTC_30m_27W,crypto,30036,1500,2817,0.16233766233766234,924,1.2256253444452523,1.1317579409658662
DOGE_30m_21W,crypto,32406,1500,2189,0.31926406926406925,924,0.8777824933215435,0.6127492767904582
DOT_30m_6W_1MetaW,crypto,50718,1500,626,0.5844155844155844,924,-0.384115565017888,-0.3088965677876041
ETC_30m_6W_1MetaW,crypto,50697,1500,626,0.5909090909090909,924,-0.22894263918439428,-0.2220952175017232
ETH_30m_28W,crypto,48968,1500,2921,0.3333333333333333,924,0.9737740128190435,0.742527489331928
EURGBP_fx,fx,6248,1500,936,0.0,924,4.162495020457975,4.304740540713808
EURUSD_fx,fx,6296,1500,936,0.06277056277056277,924,3.1668078235247714,2.8098308731862947
GBPUSD_fx,fx,6296,1500,936,0.25,924,0.657853312454477,0.5447271754416723
IWM_equity,equity,6296,1500,4876,0.0,924,6.250042817468664,6.213273875409053
LINK_30M_23W_new,crypto,50717,1500,2398,0.24134199134199133,924,1.434935133141471,1.1408300897848986
LTC_30m_27W,crypto,50389,1500,2816,0.2012987012987013,924,1.1707376896726238,1.1923180866459164
NEAR_30m_17W,crypto,50718,1500,1772,0.2564935064935065,924,0.9735271927876944,0.8914726548002455
NZDUSD_fx,fx,6296,1500,935,0.003246753246753247,924,2.1770785078103643,1.634429136483417
QQQ_equity,equity,6296,1500,4876,0.0,924,7.044204822693253,7.313220387090244
SOL_1h_7W,crypto,33812,1500,1459,0.37987012987012986,924,0.3832168853961888,0.477914181547559
SPY_equity,equity,6296,1500,4876,0.0,924,5.283176132144823,5.924924023299721
TRX_30m_25W,crypto,50712,1500,2607,0.2857142857142857,924,0.8289167838664974,0.6687621536005204
UNI_30M_17W_new,crypto,50718,1500,1772,0.38961038961038963,924,0.12176905154935173,0.2843796259196979
USDCAD_fx,fx,6248,1500,936,0.12337662337662338,924,0.9235371015441988,0.7662611409628932
USDCHF_fx,fx,6296,1500,936,0.005411255411255411,924,1.482968362163929,1.2821260452115515
USDJPY_fx,fx,6296,1500,936,0.06060606060606061,924,2.1103826706898476,1.7845888534036485
UVXY_equity,equity,6296,1500,3590,0.0,924,4.508772989265956,4.665458616844898
VXX_equity,equity,6296,1500,4339,0.0,924,4.470707844830732,4.4692830796711105
XLE_equity,equity,6296,1500,4876,0.0,924,4.915542571622661,4.908636126141137
XLF_equity,equity,6296,1500,4876,0.0,924,4.726743721405997,4.4692830796711105
XLK_equity,equity,6296,1500,4864,0.0,924,4.105127961048236,4.665458616844898
XLM_30m_6W_1MetaW,crypto,50718,1500,626,0.2510822510822511,924,0.9622163409375378,0.768569129518581
XLV_equity,equity,6296,1500,4874,0.0,924,4.136718655143285,3.678009781877033
XRP_30M_25W_new,crypto,50718,1500,2607,0.15151515151515152,924,1.0894630758578667,1.1101937098765153
ZEC_30m_22W,crypto,50718,1500,2294,0.3538961038961039,924,0.23689048182395048,0.4037998287891032
