n_trials,e_max_sharpe_ann
2,0.5993693583994764
3,0.9834336276147748
4,1.2132827281740202
5,1.3752707097387844
6,1.4992910768788656
8,1.6824999321603937
10,1.8157888783631404
13,1.964243266624798
16,2.076240512229156
21,2.216526319155861
27,2.3404866286449826
35,2.4634227722086437
45,2.578086466459778
58,2.6899267450523574
74,2.793898337395013
96,2.9016291162295
123,3.001253982542369
159,3.101651691307405
205,3.198432349815372
264,3.2923888441163154
340,3.3841535843759787
438,3.4739465274556554
564,3.561645837521835
727,3.6478736836466843
937,3.7323352068540574
1207,3.8149899725123677
1555,3.896149956840148
2004,3.975956839428426
2582,4.054300312068261
3327,4.131354003365359
4286,4.207086698089626
5522,4.281654761809024
7115,4.355103174703686
9167,4.427441115090213
11812,4.498760578326555
15219,4.5690543421554475
19608,4.638374807064736
25264,4.706782915410999
32551,4.7742962088658105
41940,4.840953050205863
54037,4.906782656081945
69623,4.971814361901472
89704,5.036075182013789
115578,5.099595113567338
148915,5.162396252721127
191867,5.224501199829969
247208,5.285933119855379
318511,5.346712597675107
410381,5.40686022951158
528750,5.466394638351562
681259,5.525332999742966
877758,5.583693523238253
1130935,5.641492374321471
1457136,5.698744797766085
1877424,5.75546583562679
2418939,5.811669966771185
3116646,5.867370686466229
