asset,market,n_eligible,n_total,best_sr_perobs,best_sr_ann,var_sr_perobs,median_abscorr,eff_n_sample,eff_n_frac,n_sampled
QQQ_equity,equity,6236,6296,0.20228113050153534,3.211113397368388,0.013983965397239898,0.15320258510817758,12.041783341141791,0.010034819450951492,1200
IWM_equity,equity,6236,6296,0.1876307013861622,2.9785450451304443,0.015547681599772763,0.14528834570646515,10.624247116144758,0.008853539263453966,1200
SPY_equity,equity,6236,6296,0.1550091170632765,2.4606934481827705,0.011321502065593937,0.15349707170812354,9.19190492522821,0.007659920771023508,1200
AUDUSD_1h_forex,fx,6417,50599,0.14775511514778536,2.345539737712516,0.004282417094220706,0.0810388016854414,46.50026618202045,0.038750221818350375,1200
XLM_30m_6W_1MetaW,crypto,33475,50718,0.13108177355370113,2.0808586454182594,0.0020552738440785564,0.04701394050399968,150.1869736004337,0.12515581133369474,1200
ALGO_30m_6W_1MetaW,crypto,33240,50718,0.12866758085077945,2.0425345243647537,0.0021327006080659916,0.04413941534661471,164.23426414242093,0.13686188678535077,1200
ETC_30m_6W_1MetaW,crypto,33533,50697,0.1281576207554665,2.0344391588201645,0.0019197895260310155,0.04871943934247869,138.63221785558548,0.1155268482129879,1200
DOT_30m_6W_1MetaW,crypto,32392,50718,0.12773058905941717,2.0276602408020326,0.0021148127053730414,0.047142406547363014,149.42190956812794,0.12451825797343995,1200
ATOM_30m_6W_1MetaW,crypto,32201,50718,0.12016558762776013,1.90756956606596,0.0020594987992663917,0.04923460435226146,140.551139206902,0.117125949339085,1200
ARB_30m_6W_1MetaW,crypto,34142,50718,0.11339115289522608,1.8000287486140192,0.001921646502431226,0.05368084450899255,119.80681262019239,0.09983901051682699,1200
USDJPY_fx,fx,5936,6296,0.11206616314003208,1.7789951883223092,0.006452082657136201,0.3409966173231457,5.223756909770638,0.0043531307581421985,1200
UNI_30M_17W_new,crypto,46133,50718,0.08458465975789835,1.3427398467024714,0.0008907292722427973,0.024902147306647124,348.7154279351993,0.2905961899459994,1200
SOL_1h_7W,crypto,24344,33812,0.08228229643798858,1.3061909620692815,0.0008867602232375236,0.026407516605453565,305.3824897348065,0.2544854081123387,1200
AVAX_30m_17W,crypto,45646,50718,0.08031488350338581,1.2749592499624973,0.0010246839243362546,0.03266772088255175,264.00367112126486,0.2200030592677207,1200
APE_30m_12W,crypto,43721,50718,0.0768026485246263,1.2192042481635779,0.001338258287898507,0.03736444498827928,220.49662962164575,0.18374719135137146,1200
AAVE_30m_17W,crypto,45512,50718,0.07438083560893066,1.1807591599824485,0.000860935800656979,0.03194834909716736,254.93980939704034,0.2124498411642003,1200
EURUSD_fx,fx,5876,6296,0.06958000518765338,1.1045483396946898,0.0013424611328562263,0.2980187442959543,5.936487214753241,0.0049470726789610335,1200
LINK_30M_23W_new,crypto,47032,50717,0.0685011721394389,1.0874223959842901,0.0008493818875429954,0.02188617476540467,397.2613376856991,0.3310511147380826,1200
ZEC_30m_22W,crypto,46913,50718,0.06786211382218807,1.0772776597000113,0.0009069645524787003,0.030959447925114795,283.05589550191974,0.23587991291826646,1200
NEAR_30m_17W,crypto,45559,50718,0.06641906048274894,1.0543698981114682,0.0011267346948571977,0.03213774444725289,272.75990321510284,0.22729991934591903,1200
XRP_30M_25W_new,crypto,48965,50718,0.06570267617157086,1.042997649728315,0.0009635413283956618,0.024642172047619083,339.4385197769467,0.2828654331474556,1200
BCH_30m_20W,crypto,47386,50718,0.064852580282983,1.0295027958577434,0.001431821978863699,0.026669350291676948,316.2279086593489,0.2635232572161241,1200
TRX_30m_25W,crypto,48690,50712,0.06129503088147332,0.9730284498984156,0.0009168218886289624,0.03419911258806546,243.09208929090005,0.20257674107575005,1200
ETH_30m_28W,crypto,47067,48968,0.060648103017509905,0.9627587884329432,0.0012192679585225372,0.028818445802286097,285.29118771381405,0.23774265642817838,1200
BNB_15m_30W,crypto,32021,33726,0.053808984939838815,0.8541911547098002,0.0026589417758747813,0.04137503043333782,162.5842370620153,0.13548686421834608,1200
DOGE_30m_21W,crypto,30699,32406,0.053396756437950756,0.847647230113829,0.0009281002286321278,0.02945962078716928,291.33943467332335,0.24278286222776946,1200
