n_trials,T_obs,e_max_sharpe_per_obs,e_max_sharpe_ann
2,1000,0.01643610713971647,0.26091511208221757
3,1000,0.026968046066684927,0.42810445942669156
4,1000,0.03327104502687089,0.5281614660019961
6,1000,0.041114061684778054,0.652665495634152
7,1000,0.043853658988322976,0.6961552545800099
10,1000,0.04979317032084743,0.7904420739506673
13,1000,0.053864136239668084,0.8550666544527814
18,1000,0.05862461814611608,0.9306369619244858
24,1000,0.06260592291115094,0.9938382157355178
32,1000,0.06640366305397644,1.054125471507297
42,1000,0.06984502122328717,1.1087553388370772
56,1000,0.07334608985576326,1.1643330803840815
75,1000,0.07676981955201102,1.2186831043795512
100,1000,0.08002468995929155,1.270352570263998
133,1000,0.08314764140882218,1.3199278876159184
178,1000,0.0862418950293075,1.3690476410549108
237,1000,0.08919366851517288,1.4159055924760748
316,1000,0.09207928179774033,1.4617132832295443
422,1000,0.09490535344282472,1.5065757797904111
562,1000,0.09763520721557686,1.5499108649800528
750,1000,0.10031999411153146,1.5925305356794583
1000,1000,0.10293598043757485,1.6340580311905963
1334,1000,0.10549973717436237,1.6747564076762338
1778,1000,0.10800256477016912,1.71448756403408
2371,1000,0.11045976974654688,1.7534944837609152
3162,1000,0.11287021121499524,1.7917590558132657
4217,1000,0.11523606249439373,1.82931578055878
5623,1000,0.11755802334202368,1.8661757662999254
7499,1000,0.11984099616190637,1.9024168362879021
10000,1000,0.12208494225977848,1.9380383762703226
13335,1000,0.12429232933489932,1.9730795597584907
17783,1000,0.12646523223159759,2.0075733238850235
23714,1000,0.1286046638153924,2.0415357473915723
31623,1000,0.13071225899671604,2.0749927836766546
42170,1000,0.1327894275409788,2.107966812072367
56234,1000,0.13483730128408591,2.1404757999166892
74989,1000,0.1368571895276272,2.1725405317280093
100000,1000,0.1388501964164239,2.2041785352619767
133352,1000,0.14081724119341996,2.235404403047937
177828,1000,0.14275935136059015,2.2662344461740718
237137,1000,0.14467739454332015,2.2966824377663904
316228,1000,0.14657227408083157,2.326762717890472
421697,1000,0.14844475444468203,2.3564874221560723
562341,1000,0.1502955935964958,2.385868582830958
749894,1000,0.15212553690645642,2.4149180322999713
1000000,1000,0.15393525050509477,2.443646345057464
